Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
000017.SZ,Shenzhen China Bicycle Company Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"471,847,816.02",,,,,,,,,,,,,,0.062729,
000026.SZ,FIYTA Precision Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,"761,143,905.45",,,,,,,,,,,,,,0.0656165,
000050.KS,Kyungbang Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"151,890,305.48",,,,,,,,,,,,,,0.291203,
000677.SZ,CHTC Helon Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1358749,
000680.KS,LS Networks Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"158,592,788.72",,,,,,,,,,,,,,5.6813775,
000726.SZ,Lu Thai Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"634,698,045.74",,,,,,,,,,,,,,0.2916819,
000850.SZ,Anhui Huamao Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"628,469,763.25",,,,,,,,,,,,,,0.4003513,
000936.SZ,Jiangsu Huaxicun Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,,,,,,,,,,,,,,,0.1908213,
000949.SZ,Xinxiang Chemical Fiber Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"1,138,610,270.15",,,,,,,,,,,,,,0.711974,
000950.KS,Chonbang Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"35,152,836.91",,,,,,,,,,,,,,0.1169369,
000955.SZ,Xinlong Holding (Group) Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"407,728,070.98",,,,,,,,,,,,,,0.1091921,
001070.KS,Taihan Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"20,140,608.01",,,,,,,,,,,,,,0.2221241,
001209.SZ,Guangdong Hongxing Industrial Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"333,893,547.08",,,,,,,,,,,,,,0.1073652,
001222.SZ,Wenzhou Yuanfei pet toy products Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"549,891,653.78",,,,,,,,,,,,,,0.0041041,
001234.SZ,Jiangsu Times Textile Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,"361,277,237.67",,,,,,,,,,,,,,0.145556,
001312.SZ,Hangzhou Fuen Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.5213629,
001390.SZ,Anhui Guqi Down & Feather Textile Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"595,615,043.40",,,,,,,,,,,,,,0.502282,
001460.KS,BYC Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"186,823,907.91",,,,,,,,,,,,,,0.0503882,
001530.KS,DI Dong Il Corp,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"240,947,370.41",,,,,,,,,,,,,,0.5692703,
002003.SZ,Zhejiang Weixing Industrial Development Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"1,534,357,718.74",,,,,,,,,,,,,,0.188183,
002029.SZ,Fujian Septwolves Industry Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"946,800,194.03",,,,,,,,,,,,,,0.4417294,
002042.SZ,Huafu Fashion Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,1.5025696,
002070.KS,Vivien Corp,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,,,"16,773,742.05",,,,,,,,,,,,,,0.7062883,
002083.SZ,Sunvim Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"1,371,546,604.86",,,,,,,,,,,,,,0.5248485,
002091.SZ,Jiangsu Guotai International Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,"1,789,555,793.58",,,,,,,,,,,,,,0.5705347,
002098.SZ,Fujian SBS Zipper Science & Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"428,029,522.07",,,,,,,,,,,,,,0.1927365,
002144.SZ,Hongda High-Tech Holding Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"273,105,870.76",,,,,,,,,,,,,,0.0306651,
002154.SZ,Baoxiniao Holding Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"684,060,572.56",,,,,,,,,,,,,,0.1381163,
002170.KS,SYTS Corp,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"99,087,103.44",,,,,,,,,,,,,,0.0012517,
002193.SZ,Shandong Ruyi Woolen Garment Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"169,519,775.82",,,,,,,,,,,,,,1.7031687,
002254.SZ,Tayho Advanced Materials Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"1,045,578,707.18",,,,,,,,,,,,,,0.5796234,
002269.SZ,Shanghai Metersbonwe Fashion&Accessories Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,2.7083365,
002327.SZ,Shenzhen Fuanna Bedding and Furnishing Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"684,814,552.79",,,,,,,,,,,,,,0.1023794,
002345.SZ,Guangdong CHJ Industry Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,352,237,158.99",,,,,,,,,,,,,,0.1209474,
002394.SZ,Jiangsu Lianfa Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,,,,,,,,,,,,,,,0.2669051,
002404.SZ,Zhejiang Jiaxin Silk Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"477,997,058.77",,,,,,,,,,,,,,0.3411941,
002486.SZ,Shanghai Challenge Textile Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0327265,
002494.SZ,Huasi Holding Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"247,609,393.88",,,,,,,,,,,,,,0.1987504,
002563.SZ,Zhejiang Semir Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,61.29,18.6,"1,777,831,602.91",100,47.87530445,36.34,28.8,45.53,62.74,4.81,30,53.65,36.39,68.83,93.98,38.35,0.2776393,87.5
002569.SZ,Zhejiang Busen Garments Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"218,293,704.80",,,,,,,,,,,,,,0.7480871,
002574.SZ,Zhejiang Ming Jewelry Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.5326546,
002612.SZ,Lancy Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"1,100,610,092.71",,,,,,,,,,,,,,0.7552951,
002634.SZ,Zhejiang Bangjie Holding Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"315,990,302.20",,,,,,,,,,,,,,5.5347439,
002656.SZ,Modern Avenue Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"244,638,768.73",,,,,,,,,,,,,,0.1491394,
002674.SZ,Xingye Leather Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"537,603,587.44",,,,,,,,,,,,,,0.4594557,
002687.SZ,Zhejiang Giuseppe Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"296,229,257.09",,,,,,,,,,,,,,0.055237,
002721.SZ,Beijing Kingee Culture Development Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,019,928,988.95",,,,,,,,,,,,,,0.0093453,
002731.SZ,Shenyang Cuihua Gold and Silver Jewelry Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,1.2836952,
002762.SZ,Jinfa Labi Maternity & Baby Articles Co Ltd,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,"296,552,493.11",,,,,,,,,,,,,,0.0120436,
002763.SZ,Shenzhen Huijie Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,,,"360,346,039.57",,,,,,,,,,,,,,0.0595576,
