Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CAP,CAPln,BOARD,LEV,ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Workforce Score,CSR Strategy Score,Community Score
002563.SZ,Zhejiang Semir Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,777,831,602.91",21.3,0.3,0.2776393,100,47.87530445,36.34,28.8,45.53,62.74,4.81,53.65,36.39,68.83,93.98,38.35,87.5,61.29,18.6
002867.SZ,Chow Tai Seng Jewellery Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"1,609,703,471.60",21.2,0.4375,0.0941906,100,38.91688231,7.14,0,8.93,73.13,16.03,87.84,36.39,19.14,31.99,31.1,44.82,61.29,26.52
0116.HK,Chow Sang Sang Holdings International Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"896,580,931.81",20.61,0.5833,0.4808737,100,42.69878168,52.48,0,42.81,46.73,37.18,51.89,12.97,78.7,47.35,41.13,64.33,20,50.91
020000.KS,Handsome Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"212,500,966.10",19.17,0.4444,0.0619919,100,42.49428566,92.24,28.8,47.5,32.45,20.83,33.75,48.1,34.26,32.25,46.11,83.84,26.23,25.3
0210.HK,Daphne International Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"87,671,662.83",18.29,0.4286,0.0091572,100,46.26846902,74.84,0,46.42,58.33,23.72,56.32,75.95,72.53,92.88,37.05,35.06,16.55,7.01
0330.HK,Esprit Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"35,616,910.76",17.39,0.5556,0.7062147,100,64.31056104,73.73,79.91,70.22,40.78,69.28,41.29,97.12,58.01,51.14,71.2,81.17,22.73,22.53
0551.HK,Yue Yuen Industrial (Holdings) Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"2,803,538,258.61",21.75,0.4,0.1981961,100,64.46953525,68.63,0,50.01,74.49,58.33,89.77,59.49,86.73,24.62,65.91,91.16,72.92,47.87
093050.KS,LF Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"315,692,221.85",19.57,0.5,0.4680776,100,31.60618969,62.22,39.39,42.95,28.15,2.24,32.41,26.2,28.77,29.9,26.08,19.36,4.19,60.64
111770.KS,Youngone Corp,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,"2,145,512,855.86",21.49,0.5833,0.1137181,100,51.53352463,79.19,28.8,49.99,22.4,47.76,19.25,68.67,50.31,7.75,67.27,97.87,60.11,49.09
1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,"1,370,891,020.62",21.04,0.5,0.0269106,100,51.95322365,95.34,28.8,63.1,77.16,16.03,81.05,59.49,74.38,84.01,35.23,45.43,47.44,16.16
1368.HK,Xtep International Holdings Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,"1,630,196,464.76",21.21,0.4286,0.3471221,100,61.29891791,33.85,80,62.6,72.63,18.59,76.75,85.13,65.74,64.65,52.91,80.18,63.99,20.43
1434.TW,Formosa Taffeta Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"727,876,257.90",20.41,0.2727,0.3071526,100,68.30263327,76.71,80,76.15,43.11,86.54,23.68,85.13,71.91,96.27,79.24,72.87,60.53,69.21
1440.TW,Tainan Spinning Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,"596,536,594.26",20.21,0.2,0.4232898,100,50.05643795,43.17,80,55.96,45.31,49.68,51.97,64.56,41.05,47.59,50.17,22.26,8.55,74.09
1476.TW,Eclat Textile Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"2,866,654,571.64",21.78,0.3158,0.064841,100,71.54506586,84.16,80,81.98,31.93,86.54,26.97,96.84,82.41,29.39,88.74,92.38,60.53,75.3
1477.TW,Makalot Industrial Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,933,975,058.09",21.38,0.3125,0.1016288,100,72.35535622,73.6,80,81.25,53.32,86.54,44.52,85.13,87.96,77.85,79.52,66.77,60.53,80.18
1910.HK,Samsonite Group SA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"3,019,644,080.23",21.83,0.75,1.5035599,100,50.1999326,80.43,28.8,61.68,46.08,44.87,54.65,55.7,81.17,24.42,46.13,17.99,35.71,78.35
1913.HK,Prada SpA,Textiles & Apparel,Apparel & Accessories,Luxury Clothing,Europe,2025,"12,597,938,670.86",23.26,0.5,0.6384241,52.38095238,55.00946227,87.27,0,57.65,32.07,86.54,29.53,75.95,94.14,12.2,66.86,41.16,74.6,62.5
2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,"24,646,243,545.92",23.93,0.4,0.4213428,100,74.27144764,94.1,28.8,57.77,81.39,86.54,85.89,75.95,60.8,55.24,74.87,88.72,98.12,33.23
2313.HK,Shenzhou International Group Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,"10,065,172,458.08",23.03,0.4545,0.3607133,100,45.13467982,51.24,28.8,45.36,32.44,37.18,34.01,72.15,57.72,17.2,53.47,81.4,47.44,10.06
2331.HK,Li Ning Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"5,279,826,756.77",22.39,0.5714,0.0740321,100,48.96096954,85.4,28.8,63.67,59.62,4.81,60.62,48.1,83.02,41.53,35.45,59.45,81.74,29.57
2915.TW,Ruentex Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"1,653,457,449.83",21.23,0.3636,0.0905611,100,57.00337325,44.41,80,62.88,49.21,86.54,41.45,36.39,58.95,67.54,59.58,65.55,60.53,39.63
300979.SZ,Huali Industrial Group Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"7,134,117,980.60",22.69,0.3846,0.0306354,100,59.95404523,72.98,28.8,45.62,92.81,28.21,94.98,36.39,42.9,89.09,46.79,67.99,87.56,58.23
3389.HK,Hengdeli Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,"66,974,663.57",18.02,0.375,0.0252645,100,23.09557384,63.66,0,29.83,20.29,4.81,9.54,72.15,35.49,58.6,23.62,11.89,16.55,3.96
383220.KS,F&F Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,553,213,808.51",21.16,0.5,0.2289126,100,55.03790269,96.58,28.8,66.16,39.59,58.33,38.25,12.97,81.79,7.25,59.5,97.26,94.81,67.99
600177.SS,Youngor Fashion Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"4,278,171,662.57",22.18,0.3333,0.5214495,100,50.88080401,78.57,28.8,56.87,55.06,4.81,44.85,36.39,69.44,84.94,47.55,71.65,61.29,94.21
600398.SS,HLA Group Corp Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,"3,537,743,978.26",21.99,0.2727,0.1756946,100,43.24525161,9.63,28.8,25.54,18.01,4.81,2.45,36.39,33.64,41.04,24.71,30.79,61.29,30.79
600612.SS,Lao Feng Xiang Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"2,322,603,974.35",21.57,0.3333,0.4207724,100,5.122901207,21.43,0,5.75,11.36,0,9.75,0,0.31,10.25,1.89,5.79,21.07,1.52
