Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CAP,CAPln,OPM,BOARD,LEV,WORDSln,CONTR,GAP,RDBL,ESG Combined score,ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Workforce Score,CSR Strategy Score,Community Score,LinkedIn URL,POSTS,WORDS,WORDS_per_post,SENTENCES_per_post,POSTSln,Cat_ESG_posts,Cat_E_posts,Cat_S_posts,Cat_G_posts,Cat_N_posts,Resource_Use_posts,Emissions_posts,Innovation_posts,Workforce_posts,Human_Rights_posts,Community_posts,Product_Responsibility_posts,Management_posts,Shareholders_posts,CSR_Strategy_posts,Cat_ESG_words,Cat_E_words,Cat_S_words,Cat_G_words,Cat_N_words,Resource_Use_words,Emissions_words,Innovation_words,Workforce_words,Human_Rights_words,Community_words,Product_Responsibility_words,Management_words,Shareholders_words,CSR_Strategy_words,Gunning_Fog,A_01_score,A_02_score,B_01_score,B_02_score,B_03_score,C_01_score,C_02_score,C_04_score,C_05_score,C_06_score,D_01_score,L_01_score,Crit_A,Crit_B,Crit_C,Crit_D,Crit_L,Gunning_Fog_ESG,A_01_score_ESG,A_02_score_ESG,B_01_score_ESG,B_02_score_ESG,B_03_score_ESG,C_01_score_ESG,C_02_score_ESG,C_04_score_ESG,C_05_score_ESG,C_06_score_ESG,D_01_score_ESG,L_01_score_ESG,Crit_A_ESG,Crit_B_ESG,Crit_C_ESG,Crit_D_ESG,Crit_L_ESG,RDBL_ESG,Gunning_Fog_E,A_01_score_E,A_02_score_E,B_01_score_E,B_02_score_E,B_03_score_E,C_01_score_E,C_02_score_E,C_04_score_E,C_05_score_E,C_06_score_E,D_01_score_E,L_01_score_E,Crit_A_E,Crit_B_E,Crit_C_E,Crit_D_E,Crit_L_E,RDBL_E,Gunning_Fog_S,A_01_score_S,A_02_score_S,B_01_score_S,B_02_score_S,B_03_score_S,C_01_score_S,C_02_score_S,C_04_score_S,C_05_score_S,C_06_score_S,D_01_score_S,L_01_score_S,Crit_A_S,Crit_B_S,Crit_C_S,Crit_D_S,Crit_L_S,RDBL_S,Gunning_Fog_G,A_01_score_G,A_02_score_G,B_01_score_G,B_02_score_G,B_03_score_G,C_01_score_G,C_02_score_G,C_04_score_G,C_05_score_G,C_06_score_G,D_01_score_G,L_01_score_G,Crit_A_G,Crit_B_G,Crit_C_G,Crit_D_G,Crit_L_G,RDBL_G,Gunning_Fog_N,A_01_score_N,A_02_score_N,B_01_score_N,B_02_score_N,B_03_score_N,C_01_score_N,C_02_score_N,C_04_score_N,C_05_score_N,C_06_score_N,D_01_score_N,L_01_score_N,Crit_A_N,Crit_B_N,Crit_C_N,Crit_D_N,Crit_L_N,RDBL_N,ESG Weighted Score_posts,ESG Weighted Score_words,ESG Score_z,ESG Weighted Score_posts_z,ESG Weighted Score_words_z
002563.SZ,Zhejiang Semir Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,777,831,602.91",21.3,0.0965906,0.3,0.2776393,9.588023099,0,-0.108962015,3.282222222,47.87530445,100,47.87530445,36.34,28.8,45.53,62.74,4.81,53.65,36.39,68.83,93.98,38.35,87.5,61.29,18.6,https://www.linkedin.com/company/semir-international,108,14589,135.0833333,7.277777778,4.682131227,0.388888889,0.12962963,0.305555556,0.092592593,0.611111111,0.018518519,0.018518519,0.12962963,0.083333333,0,0.111111111,0.12037037,0.018518519,0,0.083333333,0.539790253,0.190006169,0.41935705,0.187675646,0.460209747,0.031119336,0.044074303,0.190006169,0.135992871,0,0.146068956,0.150730002,0.03331277,0,0.162725341,14.32702468,4.085714286,3.8,2.457142857,3.084337349,2.895238095,4.48,3.689189189,3.495238095,3.228571429,3.19047619,3.695238095,2.19047619,3.942857143,2.773015873,3.435873016,3.695238095,2.19047619,16.78258015,4.047619048,3.785714286,2.857142857,3.275,3.119047619,4.344827586,3.939393939,3.761904762,3.571428571,3.452380952,3.952380952,2.142857143,3.916666667,3.075396825,3.716666667,3.952380952,2.142857143,3.476214526,18.09845209,4.071428571,3.928571429,3.071428571,3.428571429,3.214285714,4.333333333,4,3.642857143,3.714285714,3.5,4.142857143,2.5,4,3.238095238,3.775,4.142857143,2.5,3.602380952,16.51495482,4.03030303,3.757575758,2.787878788,3.290322581,3.060606061,4.238095238,3.961538462,3.787878788,3.575757576,3.424242424,3.939393939,2,3.893939394,3.035353535,3.696464646,3.939393939,2,3.4409397,20.06706199,4,3.9,3.1,3.4,3.3,4.125,4.222222222,3.8,3.9,3.7,4.2,2.3,3.95,3.266666667,3.923333333,4.2,2.3,3.646818182,12.68998769,4.111111111,3.80952381,2.19047619,2.906976744,2.746031746,4.666666667,3.487804878,3.317460317,3,3.015873016,3.523809524,2.222222222,3.96031746,2.571428571,3.248677249,3.523809524,2.222222222,3.15289402,23.42935185,36.50809377,-0.361741574,-0.779630107,-0.47070359
0116.HK,Chow Sang Sang Holdings International Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"896,580,931.81",20.61,0.0938437,0.5833,0.4808737,8.178077464,0,0.554004462,3.696077441,42.69878168,100,42.69878168,52.48,0,42.81,46.73,37.18,51.89,12.97,78.7,47.35,41.13,64.33,20,50.91,https://www.linkedin.com/company/chow-sang-sang,35,3562,101.7714286,4.514285714,3.555348061,0.514285714,0.257142857,0.371428571,0.257142857,0.485714286,0.171428571,0.057142857,0.171428571,0.028571429,0,0.285714286,0.085714286,0.085714286,0.028571429,0.228571429,0.583099382,0.321729366,0.443851769,0.301235261,0.416900618,0.207186974,0.084503088,0.22571589,0.054183043,0,0.317237507,0.126614262,0.114261651,0.030320045,0.271476698,16.44445968,4.333333333,4.033333333,2.633333333,3.125,3.366666667,4.909090909,3.954545455,3.7,3.266666667,3.433333333,3.966666667,4.466666667,4.183333333,3.011111111,3.627222222,3.966666667,4.466666667,17.24951418,4.235294118,4,2.647058824,3.125,3.529411765,4.833333333,3.916666667,3.705882353,3.294117647,3.470588235,3.882352941,4.411764706,4.117647059,3.098039216,3.626470588,3.882352941,4.411764706,3.680481283,16.60961277,4.125,4,2.625,3.25,3.5,4.75,4.4,3.75,3.5,3.625,3.75,4.25,4.0625,3.125,3.820833333,3.75,4.25,3.721401515,18.25551533,4.230769231,4,2.615384615,3.083333333,3.461538462,4.75,3.666666667,3.615384615,3.230769231,3.384615385,3.846153846,4.461538462,4.115384615,3.051282051,3.514102564,3.846153846,4.461538462,3.626689977,17.3259163,4,4,2.5,3.125,3.5,4.8,4.2,3.5,3.25,3.5,3.625,4,4,3.041666667,3.625,3.625,4,3.5875,15.3916961,4.461538462,4.076923077,2.615384615,3.125,3.153846154,5,4,3.692307692,3.230769231,3.384615385,4.076923077,4.538461538,4.269230769,2.897435897,3.628205128,4.076923077,4.538461538,3.716472417,38.30142857,46.10558113,-0.641192793,-0.136778239,-0.087188331
111770.KS,Youngone Corp,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,"2,145,512,855.86",21.49,0.0893897,0.5833,0.1137181,8.286017468,0,0.864889942,3.92010101,51.53352463,100,51.53352463,79.19,28.8,49.99,22.4,47.76,19.25,68.67,50.31,7.75,67.27,97.87,60.11,49.09,https://www.linkedin.com/company/youngone-corporation,35,3968,113.3714286,7.2,3.555348061,0.6,0.057142857,0.457142857,0.342857143,0.4,0.057142857,0.028571429,0.057142857,0.257142857,0.028571429,0.257142857,0.057142857,0.2,0,0.171428571,0.839717742,0.105090726,0.732610887,0.503780242,0.160282258,0.105090726,0.044858871,0.105090726,0.520413306,0.060231855,0.40297379,0.094758065,0.290826613,0,0.239415323,16.26764296,4.44,4.4,2.68,3.388888889,4,4.833333333,4.35,3.88,3.48,3.72,3.48,4.76,4.42,3.306666667,3.954,3.48,4.76,17.2019969,4.352941176,4.235294118,3.176470588,3.4375,3.941176471,4.769230769,4,4,3.764705882,4,3.941176471,5,4.294117647,3.5,4.058823529,3.941176471,5,4.032709447,17.59213075,4,4,3,3.5,3.5,4,3,4,4,4,3.5,5,4,3.333333333,3.9,3.5,5,3.825,16.27282317,4.230769231,4.076923077,3.384615385,3.461538462,3.923076923,4.818181818,3.818181818,4.153846154,3.923076923,4.076923077,4.230769231,5,4.153846154,3.58974359,4.138461538,4.230769231,5,4.084498835,16.62745161,4.4,4.3,2.9,3.444444444,3.9,4.666666667,4.444444444,3.9,3.6,3.9,3.7,5,4.35,3.383333333,4.06,3.7,5,3.997424243,14.28214082,4.625,4.75,1.625,3,4.125,5,5,3.625,2.875,3.125,2.5,4.25,4.6875,2.895833333,3.73125,2.5,4.25,3.680808081,41.28857143,65.82089718,-0.164254935,-0.007657713,0.700635007
1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,"1,370,891,020.62",21.04,0.152083,0.5,0.0269106,6.848005275,0,-1.006360823,3.227777778,51.95322365,100,51.95322365,95.34,28.8,63.1,77.16,16.03,81.05,59.49,74.38,84.01,35.23,45.43,47.44,16.16,https://www.linkedin.com/company/361europe,13,942,72.46153846,5.076923077,2.564949357,0.384615385,0,0.384615385,0,0.615384615,0,0,0,0.153846154,0,0.153846154,0.076923077,0,0,0,0.555201699,0,0.555201699,0,0.444798301,0,0,0,0.195329087,0,0.303609342,0.05626327,0,0,0,9.58360106,4,3.75,2.25,2.666666667,2.833333333,4.4,3.888888889,3.416666667,3.166666667,3.083333333,3.583333333,2.583333333,3.875,2.611111111,3.375,3.583333333,2.583333333,9.008638722,4.2,3.8,2.8,3.333333333,3.2,4.25,4.25,4,3.8,3.6,4,2.8,4,3.1,3.88,4,2.8,3.642424242,,,,,,,,,,,,,,,,,,,,9.008638722,4.2,3.8,2.8,3.333333333,3.2,4.25,4.25,4,3.8,3.6,4,2.8,4,3.1,3.88,4,2.8,3.642424242,,,,,,,,,,,,,,,,,,,,9.994288444,3.857142857,3.714285714,1.857142857,2.333333333,2.571428571,5,3.6,3,2.714285714,2.714285714,3.285714286,2.428571429,3.785714286,2.261904762,3.014285714,3.285714286,2.428571429,2.931601732,13.55,19.55975584,-0.141597756,-1.206669311,-1.147958579
1434.TW,Formosa Taffeta Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"727,876,257.90",20.41,0.0230042,0.2727,0.3071526,7.517520851,0,2.383499447,3.238636364,68.30263327,100,68.30263327,76.71,80,76.15,43.11,86.54,23.68,85.13,71.91,96.27,79.24,72.87,60.53,69.21,https://www.linkedin.com/company/formosa-taffeta-second-business-segment,13,1840,141.5384615,7.230769231,2.564949357,0.923076923,0.769230769,0.769230769,0,0.076923077,0.230769231,0.076923077,0.769230769,0,0,0,0.769230769,0,0,0,0.941847826,0.8375,0.791304348,0,0.058152174,0.207065217,0.08423913,0.8375,0,0,0,0.791304348,0,0,0,15.82700288,4,3.833333333,2.583333333,2.916666667,2.75,4,4.666666667,3.583333333,3.333333333,3,3.833333333,2.083333333,3.916666667,2.75,3.402777778,3.833333333,2.083333333,15.55774051,4,3.909090909,2.636363636,2.909090909,2.818181818,4,4.666666667,3.636363636,3.363636364,3.090909091,3.818181818,2.181818182,3.954545455,2.787878788,3.46969697,3.818181818,2.181818182,3.287603306,15.54365949,4,3.9,2.7,2.9,2.9,4,4.666666667,3.6,3.4,3.1,3.9,1.9,3.95,2.833333333,3.483333333,3.9,1.9,3.286363636,15.75981781,4,4,2.666666667,2.888888889,2.888888889,4.5,4.5,3.555555556,3.444444444,3.111111111,3.888888889,2.333333333,4,2.814814815,3.47037037,3.888888889,2.333333333,3.32003367,,,,,,,,,,,,,,,,,,,,18.78888889,4,3,2,3,2,,,3,3,2,4,1,3.5,2.333333333,2.666666667,4,1,2.7,119.5307692,126.4785815,0.7410145,3.374394706,3.124513947
1477.TW,Makalot Industrial Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,933,975,058.09",21.38,0.1491857,0.3125,0.1016288,8.858084222,0,0.215538098,3.428344671,72.35535622,100,72.35535622,73.6,80,81.25,53.32,86.54,44.52,85.13,87.96,77.85,79.52,66.77,60.53,80.18,https://www.linkedin.com/company/makalot,49,7031,143.4897959,8.632653061,3.891820298,0.673469388,0.469387755,0.306122449,0.163265306,0.326530612,0.204081633,0.020408163,0.448979592,0.06122449,0,0.12244898,0.163265306,0.020408163,0,0.163265306,0.725785806,0.499644432,0.342625516,0.184895463,0.274214194,0.24150192,0.018489546,0.477172522,0.069264685,0,0.137249324,0.1918646,0.020338501,0,0.184895463,14.69450891,4.224489796,3.93877551,2.551020408,3.108695652,3.224489796,4.791666667,3.9375,3.530612245,3.265306122,3.265306122,3.510204082,2.816326531,4.081632653,2.948979592,3.523129252,3.510204082,2.816326531,15.01831069,4.212121212,3.909090909,2.666666667,3.125,3.242424242,4.823529412,4,3.575757576,3.393939394,3.363636364,3.606060606,2.727272727,4.060606061,3.005050505,3.621212121,3.606060606,2.727272727,3.473676155,15.07501184,4.304347826,3.869565217,2.608695652,3.181818182,3.260869565,4.909090909,3.933333333,3.652173913,3.304347826,3.347826087,3.52173913,2.565217391,4.086956522,3.007246377,3.595652174,3.52173913,2.565217391,3.448858147,14.92969538,4.133333333,4,2.733333333,3,3.133333333,4.8,4,3.466666667,3.6,3.4,3.733333333,3,4.066666667,2.955555556,3.716666667,3.733333333,3,3.534141414,14.47532148,4.25,4,2.875,3.285714286,3.375,4.8,4,3.5,3.5,3.5,3.5,2.375,4.125,3.145833333,3.691666667,3.5,2.375,3.514141414,14.02666775,4.25,4,2.3125,3.071428571,3.1875,4.714285714,3.8,3.4375,3,3.0625,3.3125,3,4.125,2.833333333,3.320833333,3.3125,3,3.334848485,71.18591837,77.70031717,0.959798115,1.284667878,1.175336213
1910.HK,Samsonite Group SA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"3,019,644,080.23",21.83,0.1739397,0.75,1.5035599,8.095598701,0,0.25500641,3.493578644,50.1999326,100,50.1999326,80.43,28.8,61.68,46.08,44.87,54.65,55.7,81.17,24.42,46.13,17.99,35.71,78.35,https://www.linkedin.com/company/samsonite,22,3280,149.0909091,7.818181818,3.091042453,0.545454545,0.409090909,0.454545455,0,0.454545455,0.181818182,0,0.409090909,0,0,0,0.454545455,0,0,0,0.554878049,0.442073171,0.465853659,0,0.445121951,0.157012195,0,0.442073171,0,0,0,0.465853659,0,0,0,15.1461824,4,3.761904762,2.714285714,3.15,3.142857143,4.777777778,3.818181818,3.666666667,3.380952381,3.428571429,3.571428571,3.619047619,3.880952381,3,3.584920635,3.571428571,3.619047619,15.38372508,3.916666667,3.583333333,2.583333333,3.181818182,2.916666667,4.75,3.666666667,3.416666667,3.25,3.25,3.583333333,3.833333333,3.75,2.888888889,3.390277778,3.583333333,3.833333333,3.383585859,16.57629404,4,3.777777778,2.666666667,3.222222222,3.111111111,4.75,3.8,3.555555556,3.444444444,3.444444444,3.666666667,4.555555556,3.888888889,3,3.603703704,3.666666667,4.555555556,3.589225589,15.75265243,4,3.7,2.7,3.222222222,3,4.75,3.666666667,3.6,3.3,3.3,3.7,3.8,3.85,2.966666667,3.501666667,3.7,3.8,3.47030303,,,,,,,,,,,,,,,,,,,,14.82945883,4.111111111,4,2.888888889,3.111111111,3.444444444,4.8,4,4,3.555555556,3.666666667,3.555555556,3.333333333,4.055555556,3.148148148,3.844444444,3.555555556,3.333333333,3.64023569,46.20090909,48.75690244,-0.236248034,0.204680181,0.018758375
1913.HK,Prada SpA,Textiles & Apparel,Apparel & Accessories,Luxury Clothing,Europe,2025,"12,597,938,670.86",23.26,0.235577,0.5,0.6384241,9.697446909,1,-0.362714313,3.729487522,53.69520733,52.38095238,55.00946227,87.27,0,57.65,32.07,86.54,29.53,75.95,94.14,12.2,66.86,41.16,74.6,62.5,https://www.linkedin.com/company/pradagroup,247,16276,65.89473684,3.425101215,5.509388337,0.352226721,0.08097166,0.28340081,0.109311741,0.647773279,0.04048583,0.008097166,0.056680162,0.060728745,0.004048583,0.190283401,0.048582996,0.032388664,0,0.089068826,0.50399361,0.106352912,0.413860899,0.186900958,0.49600639,0.0468174,0.00792578,0.083251413,0.069304497,0.003440649,0.321639223,0.045465716,0.045097075,0,0.162570656,16.10857907,4.535294118,4.423529412,2.476470588,3.152173913,3.482352941,4.766666667,4.075757576,3.775147929,3.088235294,3.329411765,3.170588235,5,4.479411765,2.997058823,3.60372549,3.170588235,5,17.69523071,4.472972973,4.256756757,2.689189189,3.245283019,3.608108108,4.902439024,3.950819672,3.864864865,3.243243243,3.486486486,3.337837838,5,4.364864865,3.157657658,3.71509009,3.337837838,5,3.791434616,18.56996586,4.5,4.277777778,2.777777778,3.466666667,3.722222222,4.909090909,3.928571429,3.833333333,3.166666667,3.444444444,3.555555556,5,4.388888889,3.305555556,3.676851852,3.555555556,5,3.832631874,17.79331875,4.5,4.2,2.733333333,3.238095238,3.6,4.882352941,4.041666667,3.933333333,3.25,3.5,3.366666667,5,4.35,3.163888889,3.749444444,3.366666667,5,3.807643098,19.15847117,4.56,4.4,2.8,3.333333333,3.76,4.916666667,3.772727273,3.92,3.4,3.68,3.48,5,4.48,3.293333333,3.769333333,3.48,5,3.872565657,14.88553509,4.583333333,4.552083333,2.3125,3.025641026,3.385416667,4.653061224,4.183098592,3.705263158,2.96875,3.208333333,3.041666667,5,4.567708333,2.873263889,3.517881944,3.041666667,5,3.681736637,27.12182186,39.79589887,0.0233913,-0.620021514,-0.339323013
2313.HK,Shenzhou International Group Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,"10,065,172,458.08",23.03,0.2089503,0.4545,0.3607133,6.642486801,0,0.554502177,3.562855831,45.13467982,100,45.13467982,51.24,28.8,45.36,32.44,37.18,34.01,72.15,57.72,17.2,53.47,81.4,47.44,10.06,https://www.linkedin.com/company/shenzhou-intl,13,767,59,3.846153846,2.564949357,0.846153846,0.307692308,0.615384615,0,0.153846154,0.230769231,0.076923077,0.307692308,0.461538462,0,0,0.153846154,0,0,0,0.844850065,0.354628422,0.623207301,0,0.155149935,0.221642764,0.048239896,0.354628422,0.457627119,0,0,0.165580183,0,0,0,13.7138171,4.818181818,4.545454545,2.181818182,3.5,3.818181818,4.25,3.5,3.272727273,3,3.454545455,3.363636364,3.818181818,4.681818182,3,3.260606061,3.363636364,3.818181818,13.63907941,4.8,4.5,2.1,3.4,3.8,4,3.5,3.2,2.9,3.4,3.2,3.7,4.65,2.933333333,3.161666667,3.2,3.7,3.482777778,14.38630577,4.666666667,4.333333333,3.333333333,3.333333333,4.333333333,4,3,4,3.666666667,4,4.333333333,3.333333333,4.5,3.666666666,3.733333333,4.333333333,3.333333333,3.861111111,13.23543621,4.875,4.5,1.75,3.333333333,3.625,4,4,3,2.625,3.25,2.875,3.625,4.6875,2.708333333,3.002083333,2.875,3.625,3.353472222,,,,,,,,,,,,,,,,,,,,14.46119403,5,5,3,4,4,5,,4,4,4,5,5,5,3.666666667,4.25,5,5,4.363636364,46.86153846,49.40883963,-0.509692414,0.233236167,0.044809763
300979.SZ,Huali Industrial Group Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"7,134,117,980.60",22.69,0.1996518,0.3846,0.0306354,8.270525095,0,0.905703489,3.261904762,59.95404523,100,59.95404523,72.98,28.8,45.62,92.81,28.21,94.98,36.39,42.9,89.09,46.79,67.99,87.56,58.23,https://www.linkedin.com/company/%E8%8F%AF%E5%88%A9%E5%AF%A6%E6%A5%AD%E9%9B%86%E5%9C%98-%E5%AE%8F%E7%A6%8F%E9%9E%8B%E6%A5%AD,15,3907,260.4666667,6.866666667,2.708050201,0.933333333,0,0.866666667,0.333333333,0.066666667,0,0,0,0.666666667,0,0.266666667,0,0,0,0.333333333,0.997952393,0,0.908625544,0.384694139,0.002047607,0,0,0,0.667519836,0,0.295367289,0,0,0,0.384694139,18.54100619,2.071428571,2.428571429,3,3.230769231,3.071428571,4.769230769,4.538461538,4.142857143,3.642857143,3.5,3.214285714,1.785714286,2.25,3.095238095,4.092857143,3.214285714,1.785714286,18.54100619,2.071428571,2.428571429,3,3.230769231,3.071428571,4.769230769,4.538461538,4.142857143,3.642857143,3.5,3.214285714,1.785714286,2.25,3.095238095,4.092857143,3.214285714,1.785714286,3.261904762,,,,,,,,,,,,,,,,,,,,19.03230261,2.076923077,2.461538462,3,3.25,3.076923077,4.75,4.666666667,4.153846154,3.615384615,3.461538462,3.153846154,1.769230769,2.269230769,3.102564103,4.1,3.153846154,1.769230769,3.262820513,15.20090673,2,2,3.2,3.4,3.2,4.5,3.8,4.2,4,3.6,3.2,2,2,3.266666667,3.99,3.2,2,3.233333333,,,,,,,,,,,,,,,,,,,,71.488,78.21805221,0.290321399,1.297725486,1.196024888
