Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,Yes,No,No,"The post does not mention materials, energy, water, or eco-efficient supply chain management related to resource use.",No,"There is no discussion of emissions, pollution, or reduction initiatives.",No,"No reference to environmental technologies, green processes, or eco-designed products.",No,"While '#FossilGroupCareers' appears, the post does not discuss job satisfaction, safety, pay, diversity, or training opportunities.",No,"No content about human rights policies, supplier auditing, or child/forced labor concerns.",No,"No mention of community initiatives, philanthropy, or public health protections.",No,"No discussion of product quality, health and safety, or customer data/privacy.",Yes,Announcement of the appointment of a Chief Supply Chain Officer indicates executive leadership and governance-related information relevant to management and strategic direction.,No,"No reference to investor relations, shareholder reporting, or anti-takeover measures.",No,"No explicit discussion of CSR governance, integration of ESG topics into decision-making, or broad CSR reporting."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"No explicit discussion of materials, energy, or water use, eco-efficient supply chains, or reducing resource inputs.",No,"No mention of emissions, pollution, or reduction commitments.",No,"The post uses the term 'innovation' in a general sense, but there is no reference to environmental technologies, green processes, or eco-designed products.",Yes,"Mentions recruitment sessions and the discovery of internship and work-study opportunities, indicating aspects of training and talent development related to employees and potential staff.",No,"No explicit content on human rights policies, conventions, or supplier auditing.",No,"No discussion of local community impact, public health protections, or charitable activity.",No,"No content on product quality, consumer safety, or data privacy.",No,"No explicit information on governance principles, executive leadership, or board structures.",No,No discussion of investor relations or treatment/reporting to shareholders.,No,"No overarching CSR strategy or integration of environmental, social, and governance topics into decision-making discussed."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post describes turning fabric waste into tote bags and tablecloths, showing material reuse and waste reduction, aligning with resource use through materials management and eco-conscious practices.",No,"There is no explicit mention of emissions, pollution, or related reduction measures in the post.",Yes,Upcycling fabric waste into new products represents an eco-design/innovative approach to product creation and reducing environmental costs.,No,"The post discusses training for local women in the community, not internal employees or staff, so it aligns more with Community than Workforce.",No,"No explicit human rights policies, conventions, or supplier auditing are mentioned.",Yes,"The initiative supports local women from low-income families and promotes income generation and sustainability, reflecting corporate citizenship and localized social impact.",No,"There is no discussion of product safety, quality assurance, or customer data/privacy aspects.",No,"No information on governance, leadership, or board-level structure is provided.",No,"No reference to investors, reporting to shareholders, or anti-takeover measures.",Yes,"The post highlights the Coats Cares CSR initiative, indicating corporate social responsibility activity and its communication."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post mentions sustainability and a LOOP programme but does not provide explicit information about resource use, materials, energy, water, or eco-efficient supply chain management.",Yes,"Explicit reference to the commitment to the Science Based Targets initiative (SBTi), which relates to reducing greenhouse gas emissions.",No,"No explicit mention of environmental technologies, green processes, or eco-designed products.",No,"No discussion of employees, workplace safety, compensation, diversity, or training.",No,"No mention of human rights policies, supplier auditing, or related rights issues.",No,"No explicit content about corporate citizenship, community programs, public health protections, or local social impacts.",No,"No mention of product quality, consumer safety, privacy, or data protection.",No,"Mentions of the CEO and results exist, but there is no discussion of governance principles, board structure, or executive compensation.",No,"References to the annual report and financial results are present, but there is no content on shareholder treatment, reporting, or anti-takeover measures.",Yes,"Mentions sustainability focus, the LOOP programme, and the commitment to SBTi, indicating integration of environmental and social dimensions into reporting and decision-making (CSR strategy)."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post does not mention materials, energy, water usage, eco-efficient supply chain management, or any explicit resource inputs reductions.",Yes,"Explicitly states a 61.8% reduction in absolute emissions of Scope 3 (2021 baseline), providing concrete emissions-related evidence.",No,"No references to environmental technologies, green processes, or eco-designed products are provided.",Yes,"Mentions Women’s Empowerment Principles Assessment Score increasing to 75% and achieving a top quartile position, signaling a focus on internal workforce development and gender diversity.",No,"No explicit mention of human rights conventions, corporate human rights policies, or supplier auditing.",Yes,"Notes increased employee volunteerism and community engagement, indicating social/community impact.",No,"No discussion of product safety, quality, or customer data/privacy issues.",No,No governance topics such as board structure or executive compensation are discussed.,No,No content related to investor relations or shareholder reporting is present.,Yes,References to the sustainability report and the Make Time for Good framework for managing ESG initiatives reflect overarching CSR strategy and integration of ESG into decision-making.
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post discusses an ongoing collaboration with an academic program and a guest lecture; there is no mention of materials, energy, or water use, or eco-efficient supply chain management.",No,No reference to environmental pollution or any commitments/actions to reduce emissions are provided in the post.,No,"There is no discussion of environmental technologies, green processes, or eco-designed products; the content centers on education and partnership.",No,"There is no information about employees, workplace safety, compensation, development, or diversity within the company.",No,"The post does not mention human rights policies, supplier auditing, or related concerns.",No,"While the post notes collaboration with an academic institution, there is no explicit reference to corporate citizenship activities, public health protections, community impact, or charity.",No,"No content about product quality, customer safety, privacy, or product integrity is discussed.",No,"The post mentions individuals delivering a lecture, but it does not address governance, executive compensation, or board-level structures.",No,"There is no mention of investor relations, shareholder reporting, or anti-takeover considerations.",No,"There is no discussion of overarching ESG governance, reporting, or integration of ESG topics into day-to-day decision-making."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post discusses a Warsaw showroom chair and design aesthetics with no mention of materials, energy, water use, eco-efficient supply chains, or resource reduction initiatives.",No,"There is no reference to environmental pollution, emissions data, or strategies to reduce emissions in production or operations.",No,"No content relates to environmental technologies, green processes, or eco-designed products aimed at reducing environmental costs.",No,"No information about employees, workplace safety, compensation, diversity, or training is mentioned.",No,"There is no discussion of human rights policies, supplier auditing, or avoidance of child/forced labor.",No,"The post does not address corporate citizenship, public health protections, ethics, localized social impact, or charitable activities.",No,"No references to product safety, quality, customer health, data privacy, or product integrity are present.",No,"There is no content on governance principles, leadership, board structure, or executive compensation.",No,"No investor relations content, shareholder reporting, or anti-takeover discussions are mentioned.",No,"No overarching CSR reporting, integration of ESG topics into decision-making, or strategy-level disclosures are present."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"No references to materials, energy, water, or eco-efficient supply chains.",No,"No content about emissions, pollution, or reduction measures.",No,No mention of environmental technologies or eco-designed products.,Yes,"Discusses workplace burnout, employee well-being, balance, and culture; relates to internal staff.",No,No human rights policies or supplier audits discussed.,No,"No explicit community engagement, philanthropy, or local social impact.",No,"No reference to product quality, safety, or customer data.",No,"No discussion of governance, leadership, or board structures.",No,No investor relations or shareholder topics mentioned.,No,Not explicitly framed as CSR strategy; focused on internal wellbeing.
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"No explicit references to materials, energy, water consumption, eco-efficient supply chains, or resource reduction are present. The post describes a jewellery pop-up collaboration and stylistic experiences rather than environmental resource management.",No,"There is no mention of emissions, pollution, or any commitments or measures to reduce emissions in production or operations.",No,"The post mentions 'innovation' in the context of jewellery and craftsmanship, but not environmental or eco-designed innovation. Therefore it does not meet the Environmental Innovation criterion.",No,"There is no information about employees, workplace safety, compensation, diversity, or training opportunities.",No,"No references to human rights policies, supplier auditing, or related governance are present.",No,"While the event is localized (Chengdu) and involves a collaboration, there is no explicit content on corporate citizenship activities, public health protections, charity, or community impact.",No,"No discussion of product safety, quality safeguards, customer data privacy, or related consumer-responsibility topics.",No,"No content on corporate governance principles, board structure, executive compensation, or strategic direction.",No,"No information about investor relations, shareholder reporting, or anti-takeover devices.",No,"No mention of overarching CSR strategy, governance reporting, or integration of ESG topics into day-to-day decision-making."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,Yes,No,No,No,"The post describes a trade show event and product exhibits, but contains no references to materials, energy, water use, or eco-efficient supply chain practices.",No,"There is no discussion of pollution, emissions, or strategies to reduce emissions in production or operations.",No,"Although the post mentions 'innovative printing capabilities,' it does not link this to environmental technologies, green processes, or eco-designed products, so it does not evidences environmental innovation.",No,"There are no references to employees, workplace safety, compensation, diversity, or training.",No,"There are no mentions of human rights policies, supplier audits, or related commitments.",No,"No content related to corporate citizenship, public health protections, ethics, or local community impact is present.",Yes,"The post highlights quality and reliability of products (e.g., 'Distributors experienced our quality firsthand' and 'a reliable source for their diverse needs'), which aligns with product quality, customer health/safety implications, or product integrity.",No,"No discussion of governance principles, executive leadership, or board-level structures.",No,No content related to investor relations or shareholder reporting.,No,"No mention of CSR strategy, governance integration, or ESG reporting in decision-making."
