Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,9,112,3,29.0,35.0,0.92,0.8125,
Main,Cat_S,54,16,71,9,63.0,70.0,0.8333333333333334,0.8120300751879699,
Main,Cat_G,29,7,111,3,32.0,36.0,0.9333333333333333,0.8529411764705882,
Main,Cat_N,45,6,80,19,64.0,51.0,0.8333333333333334,0.782608695652174,
Sub,Resource_Use,18,3,124,5,23.0,21.0,0.9466666666666667,0.8181818181818182,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,12,9,128,1,13.0,21.0,0.9333333333333333,0.7058823529411765,
Sub,Workforce,22,13,108,7,29.0,35.0,0.8666666666666667,0.6875,
Sub,Human_Rights,9,1,139,1,10.0,10.0,0.9866666666666667,0.9,
Sub,Community,21,0,119,10,31.0,21.0,0.9333333333333333,0.8076923076923077,
Sub,Product_Responsibility,11,11,126,2,13.0,22.0,0.9133333333333333,0.6285714285714286,
Sub,Management,12,5,131,2,14.0,17.0,0.9533333333333334,0.7741935483870968,
Sub,Shareholders,7,2,138,3,10.0,9.0,0.9666666666666667,0.7368421052631579,
Sub,CSR_Strategy,15,5,128,2,17.0,20.0,0.9533333333333334,0.8108108108108109,
,SUBCATEGORY_GLOBAL_METRICS,138,51,1274,37,,,,,Hamming Loss: 0.0587 | Macro F1: 0.7655 | Accuracy: 0.9413
