Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,28,7,114,1,29.0,35.0,0.9466666666666667,0.875,
Main,Cat_S,50,10,77,13,63.0,60.0,0.8466666666666667,0.8130081300813008,
Main,Cat_G,25,8,110,7,32.0,33.0,0.9,0.7692307692307693,
Main,Cat_N,52,9,77,12,64.0,61.0,0.86,0.832,
Sub,Resource_Use,21,3,124,2,23.0,24.0,0.9666666666666667,0.8936170212765957,
Sub,Emissions,12,3,132,3,15.0,15.0,0.96,0.8,
Sub,Innovation,11,10,127,2,13.0,21.0,0.92,0.6470588235294118,
Sub,Workforce,25,20,101,4,29.0,45.0,0.84,0.6756756756756757,
Sub,Human_Rights,9,1,139,1,10.0,10.0,0.9866666666666667,0.9,
Sub,Community,22,2,117,9,31.0,24.0,0.9266666666666666,0.8,
Sub,Product_Responsibility,7,5,132,6,13.0,12.0,0.9266666666666666,0.56,
Sub,Management,13,10,126,1,14.0,23.0,0.9266666666666666,0.7027027027027027,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,13,13,120,4,17.0,26.0,0.8866666666666667,0.6046511627906976,
,SUBCATEGORY_GLOBAL_METRICS,141,69,1256,34,,,,,Hamming Loss: 0.0687 | Macro F1: 0.7384 | Accuracy: 0.9313
