Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,5,116,2,29.0,32.0,0.9533333333333334,0.8852459016393442,
Main,Cat_S,50,10,77,13,63.0,60.0,0.8466666666666667,0.8130081300813008,
Main,Cat_G,27,15,103,5,32.0,42.0,0.8666666666666667,0.7297297297297297,
Main,Cat_N,51,9,77,13,64.0,60.0,0.8533333333333334,0.8225806451612904,
Sub,Resource_Use,21,3,124,2,23.0,24.0,0.9666666666666667,0.8936170212765957,
Sub,Emissions,12,3,132,3,15.0,15.0,0.96,0.8,
Sub,Innovation,11,9,128,2,13.0,20.0,0.9266666666666666,0.6666666666666666,
Sub,Workforce,25,18,103,4,29.0,43.0,0.8533333333333334,0.6944444444444444,
Sub,Human_Rights,9,1,139,1,10.0,10.0,0.9866666666666667,0.9,
Sub,Community,22,2,117,9,31.0,24.0,0.9266666666666666,0.8,
Sub,Product_Responsibility,7,5,132,6,13.0,12.0,0.9266666666666666,0.56,
Sub,Management,13,10,126,1,14.0,23.0,0.9266666666666666,0.7027027027027027,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,13,13,120,4,17.0,26.0,0.8866666666666667,0.6046511627906976,
,SUBCATEGORY_GLOBAL_METRICS,141,66,1259,34,,,,,Hamming Loss: 0.0667 | Macro F1: 0.7422 | Accuracy: 0.9333
