Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,25,6,115,4,29.0,31.0,0.9333333333333333,0.8333333333333334,
Main,Cat_S,47,6,81,16,63.0,53.0,0.8533333333333334,0.8103448275862069,
Main,Cat_G,27,6,112,5,32.0,33.0,0.9266666666666666,0.8307692307692308,
Main,Cat_N,56,11,75,8,64.0,67.0,0.8733333333333333,0.8549618320610687,
Sub,Resource_Use,17,3,124,6,23.0,20.0,0.94,0.7906976744186046,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,11,10,127,2,13.0,21.0,0.92,0.6470588235294118,
Sub,Workforce,23,11,110,6,29.0,34.0,0.8866666666666667,0.7301587301587301,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,22,2,117,9,31.0,24.0,0.9266666666666666,0.8,
Sub,Product_Responsibility,5,2,135,8,13.0,7.0,0.9333333333333333,0.5,
Sub,Management,12,4,132,2,14.0,16.0,0.96,0.8,
Sub,Shareholders,6,1,139,4,10.0,7.0,0.9666666666666667,0.7058823529411765,
Sub,CSR_Strategy,13,6,127,4,17.0,19.0,0.9333333333333333,0.7222222222222222,
,SUBCATEGORY_GLOBAL_METRICS,127,41,1284,48,,,,,Hamming Loss: 0.0593 | Macro F1: 0.7305 | Accuracy: 0.9407
