Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,4,117,2,29.0,31.0,0.96,0.9,
Main,Cat_S,47,7,80,16,63.0,54.0,0.8466666666666667,0.8034188034188035,
Main,Cat_G,25,1,117,7,32.0,26.0,0.9466666666666667,0.8620689655172413,
Main,Cat_N,56,11,75,8,64.0,67.0,0.8733333333333333,0.8549618320610687,
Sub,Resource_Use,15,1,126,8,23.0,16.0,0.94,0.7692307692307693,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,12,9,128,1,13.0,21.0,0.9333333333333333,0.7058823529411765,
Sub,Workforce,21,8,113,8,29.0,29.0,0.8933333333333333,0.7241379310344828,
Sub,Human_Rights,6,0,140,4,10.0,6.0,0.9733333333333334,0.75,
Sub,Community,21,0,119,10,31.0,21.0,0.9333333333333333,0.8076923076923077,
Sub,Product_Responsibility,6,2,135,7,13.0,8.0,0.94,0.5714285714285714,
Sub,Management,11,0,136,3,14.0,11.0,0.98,0.88,
Sub,Shareholders,6,1,139,4,10.0,7.0,0.9666666666666667,0.7058823529411765,
Sub,CSR_Strategy,12,2,131,5,17.0,14.0,0.9533333333333334,0.7741935483870968,
,SUBCATEGORY_GLOBAL_METRICS,121,25,1300,54,,,,,Hamming Loss: 0.0527 | Macro F1: 0.7474 | Accuracy: 0.9473
