Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,8,113,2,29.0,35.0,0.9333333333333333,0.84375,
Main,Cat_S,47,8,79,16,63.0,55.0,0.84,0.7966101694915254,
Main,Cat_G,24,1,117,8,32.0,25.0,0.94,0.8421052631578947,
Main,Cat_N,56,11,75,8,64.0,67.0,0.8733333333333333,0.8549618320610687,
Sub,Resource_Use,16,2,125,7,23.0,18.0,0.94,0.7804878048780488,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,12,7,130,1,13.0,19.0,0.9466666666666667,0.75,
Sub,Workforce,23,12,109,6,29.0,35.0,0.88,0.71875,
Sub,Human_Rights,6,1,139,4,10.0,7.0,0.9666666666666667,0.7058823529411765,
Sub,Community,19,2,117,12,31.0,21.0,0.9066666666666666,0.7307692307692307,
Sub,Product_Responsibility,6,4,133,7,13.0,10.0,0.9266666666666666,0.5217391304347826,
Sub,Management,11,0,136,3,14.0,11.0,0.98,0.88,
Sub,Shareholders,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,CSR_Strategy,12,5,128,5,17.0,17.0,0.9333333333333333,0.7058823529411765,
,SUBCATEGORY_GLOBAL_METRICS,124,35,1290,51,,,,,Hamming Loss: 0.0573 | Macro F1: 0.7428 | Accuracy: 0.9427
