Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,9,112,3,29.0,35.0,0.92,0.8125,
Main,Cat_S,57,16,71,6,63.0,73.0,0.8533333333333334,0.8382352941176471,
Main,Cat_G,30,12,106,2,32.0,42.0,0.9066666666666666,0.8108108108108109,
Main,Cat_N,43,4,82,21,64.0,47.0,0.8333333333333334,0.7747747747747747,
Sub,Resource_Use,19,4,123,4,23.0,23.0,0.9466666666666667,0.8260869565217391,
Sub,Emissions,11,3,132,4,15.0,14.0,0.9533333333333334,0.7586206896551724,
Sub,Innovation,11,13,124,2,13.0,24.0,0.9,0.5945945945945946,
Sub,Workforce,25,16,105,4,29.0,41.0,0.8666666666666667,0.7142857142857143,
Sub,Human_Rights,10,2,138,0,10.0,12.0,0.9866666666666667,0.9090909090909091,
Sub,Community,21,2,117,10,31.0,23.0,0.92,0.7777777777777778,
Sub,Product_Responsibility,11,13,124,2,13.0,24.0,0.9,0.5945945945945946,
Sub,Management,11,9,127,3,14.0,20.0,0.92,0.6470588235294118,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,16,6,127,1,17.0,22.0,0.9533333333333334,0.8205128205128205,
,SUBCATEGORY_GLOBAL_METRICS,143,70,1255,32,,,,,Hamming Loss: 0.0680 | Macro F1: 0.7443 | Accuracy: 0.9320
