Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,5,116,3,29.0,31.0,0.9466666666666667,0.8666666666666667,
Main,Cat_S,49,11,76,14,63.0,60.0,0.8333333333333334,0.7967479674796748,
Main,Cat_G,30,9,109,2,32.0,39.0,0.9266666666666666,0.8450704225352113,
Main,Cat_N,50,7,79,14,64.0,57.0,0.86,0.8264462809917356,
Sub,Resource_Use,17,3,124,6,23.0,20.0,0.94,0.7906976744186046,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,11,11,126,2,13.0,22.0,0.9133333333333333,0.6285714285714286,
Sub,Workforce,25,15,106,4,29.0,40.0,0.8733333333333333,0.7246376811594203,
Sub,Human_Rights,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,Community,20,2,117,11,31.0,22.0,0.9133333333333333,0.7547169811320755,
Sub,Product_Responsibility,5,1,136,8,13.0,6.0,0.94,0.5263157894736842,
Sub,Management,12,5,131,2,14.0,17.0,0.9533333333333334,0.7741935483870968,
Sub,Shareholders,5,1,139,5,10.0,6.0,0.96,0.625,
Sub,CSR_Strategy,16,6,127,1,17.0,22.0,0.9533333333333334,0.8205128205128205,
,SUBCATEGORY_GLOBAL_METRICS,129,46,1279,46,,,,,Hamming Loss: 0.0613 | Macro F1: 0.7237 | Accuracy: 0.9387
