Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,25,5,116,4,29.0,30.0,0.94,0.847457627118644,
Main,Cat_S,50,9,78,13,63.0,59.0,0.8533333333333334,0.819672131147541,
Main,Cat_G,26,19,99,6,32.0,45.0,0.8333333333333334,0.6753246753246753,
Main,Cat_N,50,9,77,14,64.0,59.0,0.8466666666666667,0.8130081300813008,
Sub,Resource_Use,17,1,126,6,23.0,18.0,0.9533333333333334,0.8292682926829268,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,11,11,126,2,13.0,22.0,0.9133333333333333,0.6285714285714286,
Sub,Workforce,22,10,111,7,29.0,32.0,0.8866666666666667,0.7213114754098361,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,21,1,118,10,31.0,22.0,0.9266666666666666,0.7924528301886793,
Sub,Product_Responsibility,9,7,130,4,13.0,16.0,0.9266666666666666,0.6206896551724138,
Sub,Management,11,5,131,3,14.0,16.0,0.9466666666666667,0.7333333333333333,
Sub,Shareholders,5,2,138,5,10.0,7.0,0.9533333333333334,0.5882352941176471,
Sub,CSR_Strategy,13,17,116,4,17.0,30.0,0.86,0.5531914893617021,
,SUBCATEGORY_GLOBAL_METRICS,128,55,1270,47,,,,,Hamming Loss: 0.0680 | Macro F1: 0.7148 | Accuracy: 0.9320
