Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,7,114,3,29.0,33.0,0.9333333333333333,0.8387096774193549,
Main,Cat_S,46,5,82,17,63.0,51.0,0.8533333333333334,0.8070175438596491,
Main,Cat_G,16,4,114,16,32.0,20.0,0.8666666666666667,0.6153846153846154,
Main,Cat_N,49,11,75,15,64.0,60.0,0.8266666666666667,0.7903225806451613,
Sub,Resource_Use,17,1,126,6,23.0,18.0,0.9533333333333334,0.8292682926829268,
Sub,Emissions,9,1,134,6,15.0,10.0,0.9533333333333334,0.72,
Sub,Innovation,12,11,126,1,13.0,23.0,0.92,0.6666666666666666,
Sub,Workforce,21,9,112,8,29.0,30.0,0.8866666666666667,0.711864406779661,
Sub,Human_Rights,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,Community,21,1,118,10,31.0,22.0,0.9266666666666666,0.7924528301886793,
Sub,Product_Responsibility,6,3,134,7,13.0,9.0,0.9333333333333333,0.5454545454545454,
Sub,Management,9,0,136,5,14.0,9.0,0.9666666666666667,0.782608695652174,
Sub,Shareholders,2,1,139,8,10.0,3.0,0.94,0.3076923076923077,
Sub,CSR_Strategy,11,8,125,6,17.0,19.0,0.9066666666666666,0.6111111111111112,
,SUBCATEGORY_GLOBAL_METRICS,115,36,1289,60,,,,,Hamming Loss: 0.0640 | Macro F1: 0.6745 | Accuracy: 0.9360
