Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,10,111,2,29.0,37.0,0.92,0.8181818181818182,
Main,Cat_S,50,14,73,13,63.0,64.0,0.82,0.7874015748031497,
Main,Cat_G,26,17,101,6,32.0,43.0,0.8466666666666667,0.6933333333333334,
Main,Cat_N,40,7,79,24,64.0,47.0,0.7933333333333333,0.7207207207207207,
Sub,Resource_Use,19,2,125,4,23.0,21.0,0.96,0.8636363636363636,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,12,14,123,1,13.0,26.0,0.9,0.6153846153846154,
Sub,Workforce,20,11,110,9,29.0,31.0,0.8666666666666667,0.6666666666666666,
Sub,Human_Rights,8,0,140,2,10.0,8.0,0.9866666666666667,0.8888888888888888,
Sub,Community,20,1,118,11,31.0,21.0,0.92,0.7692307692307693,
Sub,Product_Responsibility,9,6,131,4,13.0,15.0,0.9333333333333333,0.6428571428571429,
Sub,Management,11,10,126,3,14.0,21.0,0.9133333333333333,0.6285714285714286,
Sub,Shareholders,8,1,139,2,10.0,9.0,0.98,0.8421052631578947,
Sub,CSR_Strategy,13,9,124,4,17.0,22.0,0.9133333333333333,0.6666666666666666,
,SUBCATEGORY_GLOBAL_METRICS,131,55,1270,44,,,,,Hamming Loss: 0.0660 | Macro F1: 0.7399 | Accuracy: 0.9340
