Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,6,115,3,29.0,32.0,0.94,0.8524590163934426,
Main,Cat_S,51,10,77,12,63.0,61.0,0.8533333333333334,0.8225806451612904,
Main,Cat_G,30,29,89,2,32.0,59.0,0.7933333333333333,0.6593406593406593,
Main,Cat_N,46,7,79,18,64.0,53.0,0.8333333333333334,0.7863247863247863,
Sub,Resource_Use,18,5,122,5,23.0,23.0,0.9333333333333333,0.782608695652174,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,12,4,133,1,13.0,16.0,0.9666666666666667,0.8275862068965517,
Sub,Workforce,18,6,115,11,29.0,24.0,0.8866666666666667,0.6792452830188679,
Sub,Human_Rights,10,0,140,0,10.0,10.0,1.0,1.0,
Sub,Community,20,1,118,11,31.0,21.0,0.92,0.7692307692307693,
Sub,Product_Responsibility,10,7,130,3,13.0,17.0,0.9333333333333333,0.6666666666666666,
Sub,Management,12,7,129,2,14.0,19.0,0.94,0.7272727272727273,
Sub,Shareholders,5,2,138,5,10.0,7.0,0.9533333333333334,0.5882352941176471,
Sub,CSR_Strategy,16,27,106,1,17.0,43.0,0.8133333333333334,0.5333333333333333,
,SUBCATEGORY_GLOBAL_METRICS,132,60,1265,43,,,,,Hamming Loss: 0.0687 | Macro F1: 0.7389 | Accuracy: 0.9313
