Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.65,0.23690806443763068,3.966666666666667,4.316666666666666,30.0,
Main,Crit_B,0.5,0,0,30,0,0.48888888900000005,0.6365854959463129,3.1000000000666668,2.8999999999999995,30.0,
Main,Crit_C,0.5,0,0,30,0,0.4261111110777777,0.6222242417463603,3.845000000033333,3.7033333333333336,30.0,
Main,Crit_D,0.5,0,0,30,0,0.8,0.3987177938808373,3.3,3.8333333333333335,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5,0.7838649106929231,3.9,3.6,30.0,
Sub,A-01,0.5,0,0,30,0,0.7,0.3300245861334208,4.033333333333333,4.466666666666667,30.0,
Sub,A-02,0.5,0,0,30,0,0.8666666666666667,0.045082382762991036,3.9,4.166666666666667,30.0,
Sub,B-01,0.5,0,0,30,0,0.8333333333333334,0.32791043456151414,3.2666666666666666,2.7,30.0,
Sub,B-02,0.36538461538461536,0,7,19,4,0.631578947368421,0.023138732973598364,2.8947368421052633,3.0,19.0,
Sub,B-03,0.5,0,0,30,0,0.7,0.5917495954692557,3.1,3.066666666666667,30.0,
Sub,C-01,0.6875,6,0,14,10,0.7857142857142857,0.19139414802065402,4.642857142857143,4.285714285714286,14.0,
Sub,C-02,0.8148148148148148,2,1,26,1,0.8076923076923077,0.2517407161803714,4.3076923076923075,3.8076923076923075,26.0,
Sub,C-04,0.5,0,0,30,0,0.9333333333333333,0.08253144654088052,4.133333333333334,3.933333333333333,30.0,
Sub,C-05,0.5,0,0,30,0,0.6,0.37564785823729274,3.466666666666667,3.3333333333333335,30.0,
Sub,C-06,0.5,0,0,30,0,0.5,0.5630795344325896,3.4,3.3666666666666667,30.0,
Sub,D-01,0.5,0,0,30,0,0.8,0.3987177938808373,3.3,3.8333333333333335,30.0,
Sub,L-01,0.5,0,0,30,0,0.5,0.7838649106929231,3.9,3.6,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,8,8,329,15,0.7203647416413373,0.4931089621184811,3.6686930091185412,3.617021276595745,,MAEm: 0.7215 | Global Avg Recall N/A: 0.6620 | Global Alpha: 0.4931
