Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6,0.3356380419305741,3.966666666666667,4.1,30.0,
Main,Crit_B,0.5,0,0,30,0,0.6833333334,0.3432080694346704,3.1000000000666668,2.5944444444444446,30.0,
Main,Crit_C,0.5,0,0,30,0,0.4761111111222222,0.435362989989709,3.845000000033333,3.572222222222222,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7666666666666667,0.37850307692307694,3.3,3.6666666666666665,30.0,
Main,Crit_L,0.5,0,0,30,0,0.4666666666666667,0.7769846373704894,3.9,3.7,30.0,
Sub,A-01,0.5,0,0,30,0,0.7,0.35482060467893395,4.033333333333333,4.333333333333333,30.0,
Sub,A-02,0.5,0,0,30,0,0.7666666666666667,0.06609660865684974,3.9,3.8666666666666667,30.0,
Sub,B-01,0.5,0,0,30,0,0.8666666666666667,0.20084080294254059,3.2666666666666666,2.6666666666666665,30.0,
Sub,B-02,0.625,1,0,26,3,0.6923076923076923,-0.03828294537073229,2.769230769230769,2.923076923076923,26.0,
Sub,B-03,0.5,0,0,30,0,0.9,0.42796954314720803,3.1,2.2,30.0,
Sub,C-01,0.75,8,0,14,8,0.5,0.20903361344537807,4.642857142857143,4.428571428571429,14.0,
Sub,C-02,0.6666666666666666,1,0,27,2,0.7037037037037037,0.24702989472858417,4.2592592592592595,3.8518518518518516,27.0,
Sub,C-04,0.5,0,0,30,0,0.8,0.1555151351836881,4.133333333333334,3.8666666666666667,30.0,
Sub,C-05,0.5,0,0,30,0,0.8,-0.04356632047102815,3.466666666666667,3.0,30.0,
Sub,C-06,0.5,0,0,30,0,0.7,0.2630756439406794,3.4,2.966666666666667,30.0,
Sub,D-01,0.5,0,0,30,0,0.7666666666666667,0.37850307692307694,3.3,3.6666666666666665,30.0,
Sub,L-01,0.5,0,0,30,0,0.4666666666666667,0.7769846373704894,3.9,3.7,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,10,0,337,13,0.7329376854599406,0.4970727968344284,3.6409495548961424,3.4124629080118694,,MAEm: 0.7219 | Global Avg Recall N/A: 0.7174 | Global Alpha: 0.4971
