Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6,0.2926748280902073,3.966666666666667,4.333333333333333,30.0,
Main,Crit_B,0.5,0,0,30,0,0.5333333334222221,0.6558862096941567,3.1000000000666668,2.944444444444444,30.0,
Main,Crit_C,0.5,0,0,30,0,0.37222222223333323,0.7574950579985826,3.845000000033333,3.698333333333333,30.0,
Main,Crit_D,0.5,0,0,30,0,0.6333333333333333,0.5043095785440613,3.3,3.8,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5,0.815068207851713,3.9,3.6666666666666665,30.0,
Sub,A-01,0.5,0,0,30,0,0.7333333333333333,0.2770919608229804,4.033333333333333,4.433333333333334,30.0,
Sub,A-02,0.5,0,0,30,0,0.8,0.06826685888194772,3.9,4.233333333333333,30.0,
Sub,B-01,0.5,0,0,30,0,0.9666666666666667,0.28314070111758527,3.2666666666666666,2.566666666666667,30.0,
Sub,B-02,0.47115384615384615,1,8,18,3,0.7777777777777778,0.19208546719942976,2.888888888888889,3.2222222222222223,18.0,
Sub,B-03,0.5,0,0,30,0,0.7333333333333333,0.5537575395045112,3.1,3.1666666666666665,30.0,
Sub,C-01,0.7053571428571428,10,3,11,6,0.36363636363636365,0.6081649831649831,4.545454545454546,4.363636363636363,11.0,
Sub,C-02,0.7962962962962963,2,2,25,1,0.6,0.4107626972740316,4.28,4.08,25.0,
Sub,C-04,0.5,0,0,30,0,0.9,0.13239249818671628,4.133333333333334,3.8333333333333335,30.0,
Sub,C-05,0.5,0,0,30,0,0.5,0.5197213185859901,3.466666666666667,3.3,30.0,
Sub,C-06,0.5,0,0,30,0,0.6,0.5449443630583175,3.4,3.533333333333333,30.0,
Sub,D-01,0.5,0,0,30,0,0.6333333333333333,0.5043095785440613,3.3,3.8,30.0,
Sub,L-01,0.5,0,0,30,0,0.5,0.815068207851713,3.9,3.6666666666666665,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,13,13,324,10,0.691358024691358,0.5283319617374747,3.654320987654321,3.654320987654321,,MAEm: 0.6757 | Global Avg Recall N/A: 0.7633 | Global Alpha: 0.5283
