Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6833333333333333,0.15661908923196455,3.966666666666667,4.283333333333333,30.0,
Main,Crit_B,0.5,0,0,30,0,0.3777777779333333,0.7546110106943816,3.1000000000666668,2.944444444444444,30.0,
Main,Crit_C,0.5,0,0,30,0,0.5016666666555555,0.5568005302266532,3.845000000033333,3.6377777777777776,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7,0.5217806267806269,3.3,3.6666666666666665,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5,0.7980427342425283,3.9,3.6,30.0,
Sub,A-01,0.5,0,0,30,0,0.6666666666666666,0.32125830591574744,4.033333333333333,4.3,30.0,
Sub,A-02,0.5,0,0,30,0,0.9,-0.08249457839010077,3.9,4.266666666666667,30.0,
Sub,B-01,0.5,0,0,30,0,0.8666666666666667,0.3802822166152696,3.2666666666666666,2.533333333333333,30.0,
Sub,B-02,0.46153846153846156,0,2,24,4,0.7916666666666666,0.2504438545914779,2.8333333333333335,3.125,24.0,
Sub,B-03,0.5,0,0,30,0,0.8333333333333334,0.5253315743717272,3.1,3.1333333333333333,30.0,
Sub,C-01,0.8125,10,0,14,6,1.1428571428571428,-0.17263553620894356,4.642857142857143,3.9285714285714284,14.0,
Sub,C-02,0.7962962962962963,2,2,25,1,0.76,0.3117859952793075,4.28,3.84,25.0,
Sub,C-04,0.5,0,0,30,0,0.9333333333333333,0.05487795747229707,4.133333333333334,4.0,30.0,
Sub,C-05,0.5,0,0,30,0,0.6,0.37564785823729274,3.466666666666667,3.3333333333333335,30.0,
Sub,C-06,0.5,0,0,30,0,0.43333333333333335,0.5948536853685369,3.4,3.3666666666666667,30.0,
Sub,D-01,0.5,0,0,30,0,0.7,0.5217806267806269,3.3,3.6666666666666665,30.0,
Sub,L-01,0.5,0,0,30,0,0.5,0.7980427342425283,3.9,3.6,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,12,4,333,11,0.7417417417417418,0.48750665674823945,3.6486486486486487,3.5795795795795797,,MAEm: 0.7607 | Global Avg Recall N/A: 0.7549 | Global Alpha: 0.4875
