Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.5,0.59986119257087,3.966666666666667,4.133333333333334,30.0,
Main,Crit_B,0.5,0,0,30,0,0.550000000111111,0.5233532484124301,3.1000000000666668,2.961111111111111,30.0,
Main,Crit_C,0.5,0,0,30,0,0.38166666667777777,0.6889217031044426,3.845000000033333,3.594444444444444,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7666666666666667,0.32119045408115876,3.3,3.7333333333333334,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5333333333333333,0.822116451984501,3.9,3.7666666666666666,30.0,
Sub,A-01,0.5,0,0,30,0,0.6,0.45720783532536513,4.033333333333333,4.3,30.0,
Sub,A-02,0.5,0,0,30,0,0.6666666666666666,0.31196481947401244,3.9,3.966666666666667,30.0,
Sub,B-01,0.5,0,0,30,0,0.7666666666666667,0.28302317566985447,3.2666666666666666,2.7,30.0,
Sub,B-02,0.5865384615384616,1,2,24,3,0.6666666666666666,0.17325506183389117,2.7083333333333335,2.9583333333333335,24.0,
Sub,B-03,0.5,0,0,30,0,0.8,0.5309992892252555,3.1,3.1666666666666665,30.0,
Sub,C-01,0.8348214285714286,13,2,12,3,0.5,0.17525252525252522,4.583333333333333,4.75,12.0,
Sub,C-02,0.5925925925925926,1,4,23,2,0.6521739130434783,0.37929347826086945,4.304347826086956,4.0,23.0,
Sub,C-04,0.5,0,0,30,0,1.0,0.08964341326689496,4.133333333333334,3.7333333333333334,30.0,
Sub,C-05,0.5,0,0,30,0,0.6,0.37286970831914656,3.466666666666667,3.1333333333333333,30.0,
Sub,C-06,0.5,0,0,30,0,0.5333333333333333,0.48139006399826445,3.4,3.3333333333333335,30.0,
Sub,D-01,0.5,0,0,30,0,0.7666666666666667,0.32119045408115876,3.3,3.7333333333333334,30.0,
Sub,L-01,0.5,0,0,30,0,0.5333333333333333,0.822116451984501,3.9,3.7666666666666666,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,15,8,329,8,0.6838905775075987,0.5350955784468465,3.629179331306991,3.5714285714285716,,MAEm: 0.6738 | Global Avg Recall N/A: 0.8142 | Global Alpha: 0.5351
