Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.7833333333333333,0.11569519004175333,3.966666666666667,3.8833333333333333,30.0,
Main,Crit_B,0.5,0,0,30,0,0.5777777778222222,0.3677796173657101,3.1000000000666668,3.2444444444444445,30.0,
Main,Crit_C,0.5,0,0,30,0,0.487222222188889,0.5024501424501425,3.845000000033333,4.082222222222222,30.0,
Main,Crit_D,0.5,0,0,30,0,1.5666666666666667,-0.39317930131883627,3.3,4.8,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.7316011008580217,3.9,3.933333333333333,30.0,
Sub,A-01,0.5,0,0,30,0,0.7333333333333333,0.3577245754041335,4.033333333333333,4.366666666666666,30.0,
Sub,A-02,0.5,0,0,30,0,1.1666666666666667,-0.2599951052373959,3.9,3.4,30.0,
Sub,B-01,0.5,0,0,30,0,0.6666666666666666,0.39737452114291283,3.2666666666666666,3.2666666666666666,30.0,
Sub,B-02,0.7980769230769231,3,4,22,1,0.8181818181818182,0.14323403574376348,2.8181818181818183,3.1818181818181817,22.0,
Sub,B-03,0.5,0,0,30,0,1.0333333333333334,0.02277603257707972,3.1,3.2,30.0,
Sub,C-01,0.78125,9,0,14,7,0.9285714285714286,0.07733082706766903,4.642857142857143,3.857142857142857,14.0,
Sub,C-02,0.6481481481481481,1,1,26,2,0.7692307692307693,0.282732892107892,4.3076923076923075,3.8461538461538463,26.0,
Sub,C-04,0.5,0,0,30,0,0.9333333333333333,-0.2143077997207261,4.133333333333334,4.8,30.0,
Sub,C-05,0.5,0,0,30,0,0.9333333333333333,0.18482057023942822,3.466666666666667,3.466666666666667,30.0,
Sub,C-06,0.5,0,0,30,0,1.2,-0.009784142797841566,3.4,4.4,30.0,
Sub,D-01,0.5,0,0,30,0,1.5666666666666667,-0.39317930131883627,3.3,4.8,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.7316011008580217,3.9,3.933333333333333,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,13,5,332,10,0.9487951807228916,0.26671290874248454,3.6566265060240966,3.894578313253012,,MAEm: 0.9430 | Global Avg Recall N/A: 0.7752 | Global Alpha: 0.2667
