Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6333333333333333,0.3838930402930404,3.966666666666667,4.066666666666666,30.0,
Main,Crit_B,0.5,0,0,30,0,0.6333333333777778,0.3277277187080755,3.1000000000666668,3.3666666666666663,30.0,
Main,Crit_C,0.5,0,0,30,0,0.6216666666333333,0.22705644069853181,3.845000000033333,4.323333333333333,30.0,
Main,Crit_D,0.5,0,0,30,0,1.5,-0.26545668960615165,3.3,4.533333333333333,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.7275306888723924,3.9,3.8666666666666667,30.0,
Sub,A-01,0.5,0,0,30,0,0.5666666666666667,0.47738283875924326,4.033333333333333,4.533333333333333,30.0,
Sub,A-02,0.5,0,0,30,0,1.1666666666666667,-0.11472579876013356,3.9,3.6,30.0,
Sub,B-01,0.5,0,0,30,0,0.6666666666666666,0.4635987952651117,3.2666666666666666,3.4,30.0,
Sub,B-02,0.4519230769230769,1,9,17,3,0.7058823529411765,-0.0037651789938495384,2.764705882352941,3.0,17.0,
Sub,B-03,0.5,0,0,30,0,1.1,0.025906258615935984,3.1,3.4,30.0,
Sub,C-01,0.84375,11,0,14,5,0.5714285714285714,0.2232142857142856,4.642857142857143,4.5,14.0,
Sub,C-02,0.6481481481481481,1,1,26,2,0.8846153846153846,0.055241623555576935,4.3076923076923075,4.1923076923076925,26.0,
Sub,C-04,0.48333333333333334,0,1,29,0,0.896551724137931,-0.158229325492806,4.103448275862069,4.862068965517241,29.0,
Sub,C-05,0.5,0,0,30,0,0.9,0.1695544605594811,3.466666666666667,3.9,30.0,
Sub,C-06,0.5,0,0,30,0,1.2666666666666666,-0.13705633684915441,3.4,4.533333333333333,30.0,
Sub,D-01,0.5,0,0,30,0,1.5,-0.26545668960615165,3.3,4.533333333333333,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.7275306888723924,3.9,3.8666666666666667,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,13,11,326,10,0.9233128834355828,0.2931415219243969,3.6625766871165646,4.039877300613497,,MAEm: 0.8993 | Global Avg Recall N/A: 0.7663 | Global Alpha: 0.2931
