Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6,0.3677673750433448,3.966666666666667,4.066666666666666,30.0,
Main,Crit_B,0.5,0,0,30,0,0.5722222222888889,0.3613348629068097,3.1000000000666668,3.1055555555555556,30.0,
Main,Crit_C,0.5,0,0,30,0,0.5205555555222222,0.24207535354101828,3.845000000033333,3.9622222222222225,30.0,
Main,Crit_D,0.5,0,0,30,0,1.6,-0.48168987780801453,3.3,4.766666666666667,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.7316011008580217,3.9,3.933333333333333,30.0,
Sub,A-01,0.5,0,0,30,0,0.7666666666666667,0.3611012052171042,4.033333333333333,4.333333333333333,30.0,
Sub,A-02,0.5,0,0,30,0,0.7,0.2846938240536857,3.9,3.8,30.0,
Sub,B-01,0.5,0,0,30,0,0.6333333333333333,0.3068978696741854,3.2666666666666666,3.1666666666666665,30.0,
Sub,B-02,0.7403846153846154,3,7,19,1,0.7894736842105263,0.023462612422481266,2.8421052631578947,3.1052631578947367,19.0,
Sub,B-03,0.5,0,0,30,0,0.9,0.2303139717425432,3.1,3.066666666666667,30.0,
Sub,C-01,0.78125,9,0,14,7,1.1428571428571428,-0.3274582560296846,4.642857142857143,3.9285714285714284,14.0,
Sub,C-02,0.6666666666666666,1,0,27,2,0.7407407407407407,0.3191922557239898,4.2592592592592595,3.888888888888889,27.0,
Sub,C-04,0.5,0,0,30,0,0.8,-0.14029414029414045,4.133333333333334,4.933333333333334,30.0,
Sub,C-05,0.5,0,0,30,0,0.8,-0.0290295314979645,3.466666666666667,3.2666666666666666,30.0,
Sub,C-06,0.5,0,0,30,0,0.9666666666666667,0.03187712883972371,3.4,3.8333333333333335,30.0,
Sub,D-01,0.5,0,0,30,0,1.6,-0.48168987780801453,3.3,4.766666666666667,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.7316011008580217,3.9,3.933333333333333,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,13,7,330,10,0.8575757575757575,0.3355344755647811,3.6636363636363636,3.8545454545454545,,MAEm: 0.8672 | Global Avg Recall N/A: 0.7722 | Global Alpha: 0.3355
