Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.5833333333333334,0.4051746013156097,3.966666666666667,3.95,30.0,
Main,Crit_B,0.5,0,0,30,0,0.6000000000666666,0.2590383992878531,3.1000000000666668,3.2666666666666666,30.0,
Main,Crit_C,0.5,0,0,30,0,0.5838888888555556,0.22425588127828222,3.845000000033333,4.212222222222222,30.0,
Main,Crit_D,0.5,0,0,30,0,1.5,-0.3778184480234259,3.3,4.6,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.7316011008580217,3.9,3.933333333333333,30.0,
Sub,A-01,0.5,0,0,30,0,0.5333333333333333,0.5758851243677683,4.033333333333333,4.433333333333334,30.0,
Sub,A-02,0.5,0,0,30,0,1.1,-0.0485077519379844,3.9,3.466666666666667,30.0,
Sub,B-01,0.5,0,0,30,0,0.8,0.2563805436337625,3.2666666666666666,3.3333333333333335,30.0,
Sub,B-02,0.7980769230769231,3,4,22,1,0.7272727272727273,-0.0310765310765313,2.727272727272727,3.0,22.0,
Sub,B-03,0.5,0,0,30,0,0.9666666666666667,0.19242485374218277,3.1,3.3333333333333335,30.0,
Sub,C-01,0.78125,9,0,14,7,1.0714285714285714,-0.1234805194805193,4.642857142857143,4.0,14.0,
Sub,C-02,0.6666666666666666,1,0,27,2,0.7407407407407407,0.3191922557239898,4.2592592592592595,3.888888888888889,27.0,
Sub,C-04,0.5,0,0,30,0,0.8666666666666667,-0.3041249818761782,4.133333333333334,5.0,30.0,
Sub,C-05,0.5,0,0,30,0,0.9333333333333333,0.14318379606045162,3.466666666666667,3.8,30.0,
Sub,C-06,0.5,0,0,30,0,1.2,-0.14118600880240884,3.4,4.6,30.0,
Sub,D-01,0.5,0,0,30,0,1.5,-0.3778184480234259,3.3,4.6,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.7316011008580217,3.9,3.933333333333333,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,13,4,333,10,0.9159159159159159,0.29917506790547377,3.6486486486486487,3.96996996996997,,MAEm: 0.9172 | Global Avg Recall N/A: 0.7767 | Global Alpha: 0.2992
