,Unnamed: 0.1,Unnamed: 0,Company Name,Year,Date,Text,URL,sentence_count,Gunning_Fog,A_01_score,A_02_score,B_01_score,B_02_score,B_03_score,C_01_score,C_02_score,C_04_score,C_05_score,C_06_score,D_01_score,L_01_score,word_count,Crit_A,Crit_B,Crit_C,Crit_D,Crit_L,AverageRDBL
0,0,0,Aquafil SpA,2026,2026-04-10T20:20:37.816Z,"Tessilquattro Srl (Aquafil Group), in collaboration with the Università di Trento, Indivenire, #ProMFacility by Trentino Sviluppo S.p.A., and Caracol AM, has developed the MAGRITTE composite - an innovative material combining ECONYL® nylon with natural clay - brought to life through the design NILLA by Elide Beltrami. Produced through large-scale additive manufacturing, NILLA is made thus from post-consumer and post-industrial waste, resulting in a versatile and easily transportable solution for the furniture sector. Supported by the Autonomous Province of Trento, this project highlights how digital technologies and Made in Italy expertise can accelerate the transition towards a truly regenerative economy.

Want to explore innovative manufacturers like this?
Come visit us at Stecca3 during Milan Design Week!
👉 Visit our website through the link https://lnkd.in/dqM5KeMt

#MilanDesignWeek #MDW2026 #Fuorisalone #TheNewStateOfMaterials #MaterialInnovation #AdvancedMaterials #IsolaDesignDistrict #Materially #SustainableMaterials #DesignWeek

ECONYL® brand",https://www.linkedin.com/posts/materially-eu_magritte-project-milano-design-week-2026-ugcPost-7448337906538123264-BXlv?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABs09r4BuVySre7W6Nsx80Mjly2zKtSu_JM,9,19.024242424242427,4,4,3,4.0,4,,3.0,4,4,4,4,3,135,4.0,3.6666666666666665,3.75,4.0,3.0,3.727272727272727
1,1,1,Gildan Activewear Inc,2026,2026-03-18T12:00:25.548Z,"At Gildan, career development goes beyond training. We support our people’s growth through a blended approach that combines formal learning with meaningful hands-on experience, helping them build rewarding, long-term careers.

This commitment to developing our talent has earned us a place on the 2026 Montreal’s Top Employers list.

From leadership to early-career talent, IT Business Analyst, David Meerson, and Chief Human Resources Officer, Brooke Ferguson, CHRE, share how Gildan’s investment in learning, mentorship, and real-world experience supports employee growth at every stage of their careers.

Read more: https://lnkd.in/dxHRruEg",https://www.linkedin.com/posts/gildan_2026-montreal-top-employer-activity-7440004181857288192-lrfk?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,5,15.221818181818184,5,4,3,3.0,4,5.0,5.0,4,4,4,3,5,88,4.5,3.333333333333333,4.4,3.0,5.0,4.083333333333333
2,2,2,Suominen Oyj,2025,2025-08-20T06:00:36.120Z,"Suominen team will be attending EDANA’s OUTLOOK™25 conference in Budapest, Hungary from September 23 to 25, 2025.

As part of the experience, we are excited to host our traditional Run with Suominen event. Join us for a refreshing 5K run or walk – a moment to connect, network and enjoy the beautiful surroundings. 

Sign up via the registration link in the comment field by September 10, and meet our team on Wednesday, September 24 at 7:00 AM in the lobby of the Budapest Marriott Hotel. The first participants to arrive will get a running t-shirt.

Let’s make every step count – see you there!",https://www.linkedin.com/posts/suominen-corporation_suominen-team-will-be-attending-edanas-outlook-activity-7363812177457143808-i0Tp?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAChuQRMBdHkIwKp5VAh3LX4A3zkCuYtgrK0,6,11.505882352941178,5,5,4,,5,5.0,5.0,5,4,5,5,3,104,5.0,4.5,4.8,5.0,3.0,4.636363636363637
3,3,3,Zhejiang Semir Garment Co Ltd,2026,2026-01-07T05:57:42.668Z,"balabala x Pierre Guignard x Xu Xiaoxue New Year Collection: Weaving Heritage into Wearable Art 🧶 

As balabala approaches its 24th anniversary, we reunite with French illustrator Pierre Guignard and Chinese intangible cultural heritage inheritor Xu Xiaoxue to launch this New Year collection that marries contemporary design with timeless tradition, not only showcasing balabala’s innovative craftsmanship but also underscoring its commitment to bridging cultures through wearable art.

We aspire to give children more than new clothes, but a wearable legacy of Eastern memory.

We draw the warmest shades of red from millennia of culture, reinterpreting them through a modern lens. 

This collection honors tradition while staying relevant today, gently wrapping every child in its radiant hues, vibrant yet refined, festive and full of grace.

Check out our recently held New Year’s event and see how cultures and wearable art are nicely blended.

Explore more: https://balabala.com/",https://www.linkedin.com/posts/semir-international_balabala-semirgroup-culturalcollaboration-activity-7414545751130791936-j3UJ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD83cM8BveTBQe8d728MIe5rgAE_6phyUq0,6,19.87777777777778,4,4,2,3.0,2,,3.0,4,3,3,3,3,145,4.0,2.333333333333333,3.25,3.0,3.0,3.090909090909091
4,4,4,Prada SpA,2026,2026-04-01T13:20:04.081Z,"Today, the Prada Group publishes its Sustainability Report 2025.
In line with the Group’s IMPACT sustainability strategy, significant progress was achieved across the three pillars of focus: Planet, People and Culture.
The Group continues to focus on initiatives that generate long-term value for its industry and for society as a whole.

To read the full report, visit: https://lnkd.in/d6aN3wbp",https://www.linkedin.com/posts/pradagroup_pradagroupimpact-activity-7445097654595780608-rQUN?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD484ZYB2sV3_pmVtuTs5T4aCRwQuDMd52w,4,12.696551724137931,5,5,1,3.0,3,,3.0,3,3,3,1,5,58,5.0,2.333333333333333,3.0,1.0,5.0,3.1818181818181817
5,5,5,Gildan Activewear Inc,2026,2026-02-11T12:49:04.428Z,"This winter, our Winston-Salem team organized two community events to support neighbors in need. We collected nearly 60 coats and winter accessories to help families and individuals stay warm during the coldest months of the year. 

Employees also wrote 200 Valentine’s Day cards for 165 residents at Oak Forest Health and Rehabilitation Center, spreading cheer just in time for the holiday, with some employees sharing stories about loved ones in long-term care. These are just some of the ways we strengthen connections and show up for the communities where we operate!",https://www.linkedin.com/posts/gildan_lifeatgildan-makingapparelbetter-activity-7427332849231499264--ZPG?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,4,15.693406593406593,5,5,4,4.0,4,5.0,5.0,5,4,5,5,3,91,5.0,4.0,4.8,5.0,3.0,4.5
6,6,6,Adidas AG,2025,2025-07-17T16:24:59.249Z,"Football pro Lamine Yamal supporting young players in China
 
Last week, Lamine visited Shanghai to join this year’s finals of the China High School Football League (CHFL):  
 
⚽ 🌇 He challenged the young aspiring athletes for a dynamic skill exercise set against the iconic Shanghai skyline – a moment they'll remember.  
 
🏆 During halftime of the final, Lamine gave a masterclass and went head-to-head with former Chinese national goalkeeper Wang Dalei in an epic penalty shootout.  
 
Open for the public for the first time this year, the CHFL finals attracted over 10k passionate fans to the stadium, cheering for the high school players. 🙌",https://www.linkedin.com/posts/adidas_adidasfootball-adidaschina-activity-7351648121778544641-BUqP?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD2I9Z8B375LXs5HhGiec5aEp0Oo3zrqv98,3,18.45252525252525,5,4,3,,3,4.0,3.0,4,4,4,4,2,104,4.5,3.0,3.8,4.0,2.0,3.636363636363636
7,7,7,Crocs Inc,2026,2026-01-28T15:00:09.283Z,"Today marks a new chapter in the Crocs story with the launch of a new brand anthem: Wonderfully Unordinary - Let Your Human Out. This is our first new global narrative in nearly 10 years, reflecting who we are becoming as a brand and how we are showing up for a new generation. 
  
The launch is led by a visually stunning new anthem, a first-ever global brand spot of its kind for Crocs, representing far more than a campaign. It’s unlocking the next chapter for the brand, rooted in authenticity, creativity, and at its core is about experiencing life in Crocs in ways that feel fresh, real, and deeply human.  
  
We hope that it makes you feel something, and if it does, we’d love to hear from you. Whether it’s a memory of your first pair of Crocs, or an experience wearing them when you felt authentically yourself.

https://lnkd.in/gzPRGzT6",https://www.linkedin.com/posts/crocsinc_today-marks-a-new-chapter-in-thecrocs-story-activity-7422292406706036738-bmBj?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAAXJE9wBuHcwMPg2KcmNt3igYhQO09izULc,7,13.920720720720722,4,4,2,3.0,2,,3.0,3,3,3,3,5,149,4.0,2.333333333333333,3.0,3.0,5.0,3.1818181818181817
8,8,8,Zhejiang Semir Garment Co Ltd,2025,2025-12-05T09:18:59.663Z,"✨ Introducing balabala's 5th store in Ho Chi Minh City! 👏 

On November 22nd, balabala officially unveiled its 5th store at Crescent Mall, Ho Chi Minh City, demonstrating its ongoing growth in Vietnam.

Our grand opening day witnessed boundless laughter and joyfullness. The festive atmosphere, the bright smiles of the little ones, and the warm support from parents made the event incredibly special.

From the very first customers lining up to receive gifts, the moments when kids enjoyed free ice creams, to the adorable check-in photos – everything came together to create a “mini festival” right in the heart of the shopping mall.

Huge thank you to those who visited and experienced our Crescent Mall balabala store. We are truly honored to be this unique ""Childhood Companion"" along with hundreds of millions of families.

📧 Feel free to DM us or drop a comment for further information regarding partnership opportunities.

📞 Partnership & Franchise Contact in Vietnam: 0939 723 892 (Mr. Phúc)

#balabala
#SemirGroupInternational;",https://www.linkedin.com/posts/semir-international_balabala-semirgroupinternational-grandopening-activity-7402637606154592256-IoU0?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD83cM8BveTBQe8d728MIe5rgAE_6phyUq0,9,13.155443037974685,4,4,3,3.0,3,5.0,5.0,4,4,4,5,1,164,4.0,3.0,4.4,5.0,1.0,3.75
9,9,9,Gabriel Holding A/S,2026,2026-02-26T13:34:35.357Z,"The lavender drift moves between calm and character, a soft pastel violet that brings lightness, depth and quiet confidence to any surface.

Subtle yet distinctive, it balances cool clarity with a gentle warmth, making it effortless to combine across textures and tones. 

Discover how soft tones can shape strong expressions.",https://www.linkedin.com/posts/gabriel_the-lavender-drift-moves-between-calm-and-activity-7432780121561878529-Vxlo?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,3,13.06666666666667,5,4,1,,2,,,2,2,2,3,5,50,4.5,1.5,2.0,3.0,5.0,2.888888888888889
