Company,Date,Link,Text,Flesch_Ease,Gunning_Fog,A_01_score,A_01_reasoning,A_02_score,A_02_reasoning,B_01_score,B_01_reasoning,B_02_score,B_02_reasoning,B_03_score,B_03_reasoning,C_01_score,C_01_reasoning,C_02_score,C_02_reasoning,C_03_score,C_03_reasoning,C_04_score,C_04_reasoning,C_05_score,C_05_reasoning,C_06_score,C_06_reasoning,D_01_score,D_01_reasoning,Word_Count,Avg_A,Avg_B,Avg_C,Avg_D,Average_Main_Crit,Weighted_Main_Crit,Weighted_Subcrit,Average_Subcrit
Under Armour,2025-11-02T19:20:41.506Z,https://www.linkedin.com/posts/under-armour_shop-the-shoes-that-got-sharon-lokedi-over-activity-7390830228694249472-jY8k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Since her breakout win at the 2022 NYC Marathon, Lokedi has podiumed in four of her six marathons, but 2025 stands apart as her most impressive year yet. For this run, she trusted Under Armour’s UA Velociti Elite 3, the brand’s most advanced marathon race shoe engineered for speed, stability, and endurance, and the same model that powered her Boston Marathon victory. 

Now available on UA.com and in select run specialty stores, the Velociti Elite 3 continues to deliver when it matters most.

https://lnkd.in/dndqHcw",48.54857142857145,15.542857142857144,5.0,No sentences restate the same idea. Sentence 1 gives performance history and a 2025 claim; sentence 2 introduces the specific shoe and ties it to a Boston Marathon win; sentence 3 addresses availability and a tagline. No duplicated data or filler restating prior content.,3.0,"Noticeable repetition of key terms: “marathon” appears multiple times and the model name “Velociti Elite 3” is repeated. While typical for branding, it slightly disrupts lexical variety.",3.0,"Some specifics are given (“four of her six marathons,” 2022 NYC win), but major claims lack detail: which 2025 races make it the ‘most impressive year,’ what times/placements, and which run is referenced by “For this run.” The Boston victory reference lacks year and metrics.",1.0,"Causal language implies the shoe caused outcomes (e.g., “the same model that powered her Boston Marathon victory,” “engineered for speed… and endurance”) without mechanisms or evidence. Correlation is framed as causation.",1.0,"Heavy use of subjective superlatives and vague modifiers: “most advanced,” “most impressive,” “continues to deliver,” and “select” stores are undefined. Modifiers are not quantified or bounded.",4.0,"The ratio “four of her six marathons” is clear and unambiguous, but no source, calculation method, or benchmark is provided. Numerical use is accurate yet not tied to formal benchmarks.",3.0,"Includes fixed markers (2022, 2025), but uses vague timing like “Now available” and “continues to deliver,” which lack specific dates or periods.",,No percentages or proportional data expressed as percentages are used in the text.,3.0,"Scope is partly clear (claims pertain to Lokedi and Under Armour’s marathon shoe line), but “select run specialty stores” and generalized performance claims leave gray areas about geographies, user groups, and contexts.",3.0,"Information is relevant to a product endorsement, but significance isn’t deeply contextualized (e.g., how four podiums compare to peers or historical norms; why 2025 stands out beyond assertion).",1.0,"Language is open to multiple interpretations and classic marketing puffery (“powered her victory,” “most advanced,” “continues to deliver”), providing no technical definitions to constrain meaning.",5.0,"The post’s message (athlete success linked to a specific shoe now available for purchase) is understandable without external references; the link is supplementary, not required.",84.0,4.0,1.6666666666666667,2.8,5.0,3.3666666666666667,3.3666666666666667,2.909090909090909,2.909090909090909
Under Armour,2025-09-22T15:33:23.394Z,https://www.linkedin.com/posts/under-armour_patrick-duroseau-on-making-an-impact-with-activity-7375915123816763393-ulHC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"At Under Armour, we believe in showing up for others and Patrick Duroseau is doing just that through his work with Soles4Souls, a nonprofit that turns unwanted shoes and clothing into opportunity, by keeping them from going to waste and putting them to good use – providing relief, creating jobs and empowering people to break the cycle of poverty.

As a longtime volunteer and current Executive Board member, Patrick helps guide Soles4Souls’ strategy, strengthen financial oversight, and scale impact across global communities. From distributing shoes domestically in Baltimore and Atlanta to global missions in Haiti, Honduras, and the Dominican Republic, he’s seen firsthand how something as simple as a pair of shoes can restore dignity, unlock education, and create economic opportunity.

His leadership reminds teammates that giving back isn’t just a gesture, it’s a mindset. He encourages his teammates to adopt this thinking and fully leverage Under Armour’s 40 hours of annual paid #volunteer time. Making an impact in the community fuels connection, purpose, and growth for everyone involved.

#LifeatUA #FightonTogether",25.79666666666668,19.09803921568628,4.0,"Minimal redundancy. Some thematic overlap (e.g., creating jobs/economic opportunity; giving back as a mindset reiterated with encouragement to use volunteer hours) but no sentences repeat the same facts verbatim; each paragraph adds distinct info (mission of Soles4Souls, Patrick’s roles and locations, UA volunteer policy).",4.0,"Good lexical variety with only minor repetition (e.g., “teammates,” “impact,” “create”). Sentence structures vary and maintain flow.",3.0,"Provides general details about Patrick’s governance roles and example locations, and specifies UA’s 40 paid volunteer hours. However, impact claims (restoring dignity, unlocking education) lack concrete mechanisms, metrics, or examples of implementation.",2.0,"Causal statements are asserted without clear logical chains or evidence (e.g., shoes ‘restore dignity,’ ‘unlock education,’ and community impact ‘fuels connection, purpose, and growth’). Links are implied rather than explained.",3.0,"Some imprecise modifiers and broad terms (“longtime,” “global communities,” “scale impact,” “restore dignity”) but not excessive puffery. Most modifiers are understandable yet non-specific.",5.0,The only material number—“40 hours of annual paid volunteer time”—has clear units and period; no ambiguous figures elsewhere.,3.0,"Includes a clear annual cadence for volunteer hours, but uses vague temporal language like “longtime” and provides no specific dates for activities.",,No percentages or proportional data are used.,4.0,"Organizations and geographies are named (UA, Soles4Souls; specific U.S. cities and countries). Minor gray area remains on whether the 40 hours apply to all employees globally.",3.0,"Context is provided on why the work matters at a high level (poverty relief, opportunity), but lacks depth on scale, comparative significance, or how it fits into UA’s broader strategy.",3.0,"Language is mostly clear but some terms (e.g., “growth,” “opportunity,” “restore dignity”) can be interpreted in multiple ways without definitions.",5.0,Self-contained post; no reliance on external documents to understand the main points or logic.,171.0,4.0,2.6666666666666665,3.6,5.0,3.8166666666666664,3.8166666666666664,3.5454545454545454,3.5454545454545454
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_storelaunch-newstore-travelessentials-activity-7373651280667414529-9WF6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"✨ Exciting News! Our New Store Has Arrived in Malda! ✨

We are thrilled to announce the grand opening of our latest store at PRM Centre Point Mall, Malda, West Bengal. 🎉

Discover a wide range of high-quality luggage and travel accessories that combine durability, style, and innovation — designed to accompany you on every journey.

📍 Location: PRM Centre Point Mall, Malda, West Bengal
🛍️ Visit us today and elevate your travel experience with our exclusive collections.

Let your next adventure begin here! 🚀✈️

#StoreLaunch #NewStore #TravelEssentials #Luggage #RetailExpansion #WestBengal #ShoppingExperience #Safari #Safaribags #UrbanJungle #SafariSelect #luggage #Backpack #BornToTravel

Nrupal Mehta Akassh Mittal Anaysha Choudhury
",24.5097278911565,14.696598639455784,3.0,"Minor redundancy: the store location (PRM Centre Point Mall, Malda, West Bengal) is stated twice; otherwise each sentence adds a new element (announcement, product range, call to visit).",3.0,"Notable repetition of key terms: “store,” “Malda, West Bengal,” and the hashtag #luggage appears twice. Overall vocabulary is varied enough to maintain flow.",3.0,"General details (what, where) are provided, but specifics are missing (opening hours, contact info, promotions, directions, parking), leaving practical “how” questions.",3.0,Implied causation (“Visit us today and elevate your travel experience”) is suggestive but not explained; no mechanism given for how the products lead to improved experience.,1.0,"Heavy use of subjective modifiers and puffery: “Exciting,” “wide range,” “high-quality,” “exclusive collections,” “elevate,” without definitions or objective qualifiers.",,No quantitative data or figures are presented.,3.0,"Temporal cues indicate immediacy (“has arrived,” “Visit us today”) but no fixed date or hours are provided; timing is clear in a broad sense but not precise.",,No percentages or proportional data are used.,5.0,"Scope is clearly limited to a single store at a specified mall in Malda, West Bengal; no ambiguity about organizational or geographic extent.",3.0,"The relevance (store opening) is clear, but there’s limited broader context (e.g., why this location, significance to customers or strategy).",3.0,"Core message (a new store opened at a specific location) is unambiguous, but marketing terms like “high-quality” and “exclusive” allow multiple interpretations.",5.0,Self-contained announcement; no external references are required to understand the message.,105.0,3.0,2.3333333333333335,3.5,5.0,3.4583333333333335,3.4583333333333335,3.2,3.2
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-pageians-activity-6882612137534091264-7mmc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries Ltd wishes all followers a happy and safe New Year!

#pageindustries #pil #pageians #jockey #speedo #jockeyindia #speedoindia",50.25565789473683,14.326315789473682,5.0,Single concise sentence; no duplicated ideas or filler.,5.0,No noticeable repetition; vocabulary is simple and varied for the short length.,,It is a holiday greeting with no claims or processes requiring detail.,,No causal statements are made.,5.0,"Minimal modifiers (“happy,” “safe”) that are clear and not misleading; no vague puffery.",,No quantitative data is presented.,3.0,References “New Year” (a specific event) but does not specify the year or exact date.,,No percentages are used.,4.0,"Audience is stated as “all followers,” which is mostly clear in a LinkedIn context, though platform scope is slightly implicit.",5.0,Purpose and relevance are obvious for a seasonal greeting; no further context needed.,5.0,Unambiguous intent and meaning; little room for multiple interpretations.,5.0,Fully self-contained; no external references required to understand the message.,19.0,5.0,5.0,4.25,5.0,4.8125,4.8125,4.625,4.625
Titan Company Limited,2022-01-05T09:29:23.344Z,https://www.linkedin.com/posts/titan-industries_spotlightontitanians-lifeattitan-titancompany-activity-6884425574253756416-9LTi?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"5 Professional Goals for 2022

Narasimhan YL walked through the doors of Titan in 2005. Every day since then, his journey has been filled with moments of learning, growth and teamwork. As we step into 2022, he shares 5 pieces of professional advice to help carve your very own success story this year.

1. Always trust the journey. A solid process in place is half the job well done. 

2. Set realistic goals but with room for exploration/experimentation. 

3. Build and nurture your team based on trust. 

4. Take time out for self and family to balance out. Step back, reflect and refresh.

5. Last but surely not the least, enjoy every bit of the step with gratitude.

#SpotlightOnTitanians #LifeAtTitan #TitanCompany",69.81876033057854,7.375206611570248,5.0,"Each sentence and bullet introduces distinct information (context about the person, then five different tips). No duplication of the same point or restatement across bullets.",4.0,"Minor repetition of terms like “trust” and “step,” but overall the vocabulary and sentence structures vary enough to keep the flow engaging.",1.0,"Advice is high-level and motivational without concrete steps, methods, examples, or parameters explaining how to implement any tip.",3.0,"Implied causal links (e.g., having a solid process leads to half the job being done; taking time off leads to balance) are present but not explained or evidenced.",2.0,"Frequent use of imprecise modifiers such as “solid,” “realistic,” “balance out,” and “enjoy every bit,” without definitions or measurable criteria.",,No material quantitative data or statistics are presented beyond an incidental date and a simple count of tips.,3.0,"The post anchors advice to the year 2022, but provides no specific dates, durations, or update frequencies; most guidance is timeless.",,No percentages or proportional data are used.,3.0,"Scope generally targets professionals, with context about a Titan employee; not fully clear whether advice is intended for Titan staff only or a broader audience.",3.0,"Context (who is speaking and why) is provided, but the significance or practical impact of each tip is not situated within a broader framework or objectives.",2.0,"Phrases like “trust the journey,” “solid process,” and “balance out” are open to multiple interpretations and lack precise definitions.",5.0,The post is self-contained and requires no external references to understand its message.,121.0,4.5,2.0,2.75,5.0,3.5625,3.5625,3.1,3.1
Under Armour,2025-08-14T14:14:48.452Z,https://www.linkedin.com/posts/under-armour_tini-stoessel-joins-under-armour-championing-activity-7361762221158199296-kSS_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Tini Stoessel Joins Under Armour, Championing a New Era of Performance and Self-Expression 

Argentinian pop sensation Tini is UA’s newest brand #ambassador, bringing her signature blend of strength, authenticity, and style to the forefront of #sport and #culture. 

With a fanbase that spans continents, Tini represents a new generation of #athletes. She will headline both regional and global campaigns, co-creating digital storytelling, live activations, and wellness-driven initiatives.  

https://lnkd.in/eB9mqVgM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Armour,2025-06-12T13:30:44.016Z,https://www.linkedin.com/posts/under-armour_lifeatua-fertilitybenefits-employeesupport-activity-7338920694056951809-NuDI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"We believe that supporting our Under Armour teammates means showing up for every chapter of their lives—including the journey to parenthood.
 
When teammate Crystal Sherrod first discussed UA’s fertility benefits, it was through heartfelt conversations with her teammates who had walked the same path. That sense of community and shared experience is what makes our culture so special. 
 
Through our medical plan, U.S. based teammates have access to a flexible and comprehensive benefit that includes:
🩺 Covered initial consultations and diagnostic testing
🏥 Access to a wide network of clinics
🎯 Point-based system for personalized treatment paths, including the option to begin with IVF
🤝 Dedicated point of contact to help navigate the process
 
For Crystal, this benefit wasn’t just helpful—it was life-changing. After 17 years at UA and welcoming a child through her IVF journey, she described the support as ""the best bonus UA has ever given me!"" From generous parental leave to leadership that understands the time and emotional investment fertility treatment requires, UA’s commitment to employee well-being goes far beyond the workplace.
 
#LifeAtUA #FertilityBenefits #EmployeeSupport #WorkplaceWellbeing #UnderArmourMakesYouBetter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Armour,2025-04-04T15:57:33.754Z,https://www.linkedin.com/posts/under-armour_shari-manning-on-volunteering-with-team-rubicon-activity-7313952882049892352-UpqS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEEwhR8BmoWSRVBrwSVy1xrDQ-w28beKGSw,"At Under Armour, we believe in the importance of making a difference in the communities where we live and work. To support our teammates in being a force for good, we are proud to offer 40 hours of annual paid volunteer time. This benefit provides our team the opportunity to support the causes they are passionate about, whether it's coaching youth, participating in environmental clean-ups, or helping local nonprofits.
 
This Volunteer Month, we're proud to celebrate the incredible efforts of our team members who dedicate their time and skills to make a difference and highlight one teammate who used her volunteer hours to make an #impact. 
 
Shari Manning supported our longstanding partner Team Rubicon in their relief efforts in Georgia following Hurricane Helene. She knew this was an opportunity to help uplift a community in need and she encourages other teammates to get involved.

#lifeatua #volunteermonth #fightontogether",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_badmintontournament-teamspirit-funatwork-activity-7348591245344018432-Muq6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏸 Smashing Success at Our Badminton Tournament – 5th July 2025! 🏆

What a fantastic day it was as our teams battled it out on the court during our Inter-Department Badminton Tournament held on 5th July 2025! The energy, excitement, and enthusiasm were unmatched.

From powerful smashes to strategic drop shots, every match showcased amazing talent, sportsmanship, and team bonding. 💥💪

👏 A big round of applause to all the winners and participants who made the tournament a grand success — your spirit truly defines what it means to be a team!

Here’s to more such vibrant moments that bring us together beyond our workstations. 🥳

#BadmintonTournament #TeamSpirit #FunAtWork #EmployeeEngagement #SportsDay #LifeAtSafari #July2025 #Safari #Safaribags #UrbanJungle #SafariSelect #luggage #Backpack #BornToTravel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_safariindustries-travelsentryawards-awardwinningdesign-activity-7343949679866347521-KNoG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏆 Double Win for Safari! 🏆

We’re proud to share that we have been recognized with two prestigious awards at the Travel Sentry Product Awards 2025! ✈️🎉

This global recognition celebrates our dedication to design excellence, travel security, and customer-centric innovation in the luggage industry.

🔹 Award 1: [Phoenix LT - Soft Luggage https://lnkd.in/dsCZfkz5]
🔹 Award 2: [Caliber - Hard Luggage https://lnkd.in/dtTdKyC6 ]

These accolades are a reflection of our team’s passion, precision, and pursuit of perfection in every product we craft. A heartfelt thank you to our customers, partners, and the entire Safari family for being part of this incredible journey.

Here's to setting new benchmarks in travel gear! 🌍🧳
#SafariIndustries #TravelSentryAwards #AwardWinningDesign #InnovationInTravel #ProudMoment #LuggageThatLeads #MadeForTheWorld #Safari #Safaribags #UrbanJungle #SafariSelect #luggage #Backpack #BornToTravel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
