Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD
1361.HK_2024,2024,1090157697,0,0,100,52.50475348,0.43,0.11289,0.0303717,1361.HK,361 Degrees International Ltd,Footwear,33109942.53,0.003428661,123067902.4,0.012744152,0.1849,1.18844E+18,468767809.7
1361.HK_2023,2023,832588781.2,0,0,100,44.7539247,0.43,0.09919,0.0310962,1361.HK,361 Degrees International Ltd,Footwear,25890347.26,0.003084432,82584481.21,0.009838656,0.1849,6.93204E+17,358013175.9
1361.HK_2022,2022,823798084.2,0,0,100,39.65278851,0.43,0.08769,0.0244134,1361.HK,361 Degrees International Ltd,Footwear,20111712.15,0.002140811,72238854,0.007689536,0.1849,6.78643E+17,354233176.2
ADSGn.DE_2024,2024,42624000000,1,1,25,83.11542954,0.81,-0.0121,1.1295431,ADSGn.DE,Adidas AG,Footwear,48145645094,-0.013667472,-515750400,0.00014641,0.6561,1.81681E+21,34525440000
ADSGn.DE_2023,2023,33148800000,1,1,3.571428571,90.036398,0.88,0.04059,1.2070641,ADSGn.DE,Adidas AG,Footwear,40012726438,0.048994732,1345509792,0.001647548,0.7744,1.09884E+21,29170944000
ADSGn.DE_2022,2022,22942800000,1,1,8.823529412,88.5970334,0.94,0.21359,0.6802348,ADSGn.DE,Adidas AG,Footwear,15606490969,0.145291351,4900352652,0.045620688,0.8836,5.26372E+20,21566232000
ADSGn.DE_2021,2021,48639720000,0,0,100,89.84805031,0.94,0.0652,0.880287,ADSGn.DE,Adidas AG,Footwear,42816913200,0.057394712,3171309744,0.00425104,0.8836,2.36582E+21,45721336800
ADSGn.DE_2020,2020,59703981809,1,0,66.66666667,88.36010648,1,0.3,0.6758288,ADSGn.DE,Adidas AG,Footwear,40349670381,0.20274864,17911194543,0.09,1,3.56457E+21,59703981809
ADSGn.DE_2019,2019,58080610703,1,0,70,90.01631232,0.89,0.26538,0.2774984,ADSGn.DE,Adidas AG,Footwear,16117276541,0.073642525,15413432468,0.070426544,0.7921,3.37336E+21,51691743526
ADSGn.DE_2018,2018,36555912326,1,1,35.71428571,86.24511425,0.89,0.1698,0.1866379,ADSGn.DE,Adidas AG,Footwear,6822718709,0.031691115,6207193913,0.02883204,0.7921,1.33633E+21,32534761970
ADSGn.DE_2017,2017,34970485490,1,1,25,86.09091415,0.89,0.1676,0.2517428,ADSGn.DE,Adidas AG,Footwear,8803567935,0.042192093,5861053368,0.02808976,0.7921,1.22293E+21,31123732086
AEF.MI_2023,2023,98558778.67,0,0,100,38.68335559,0.5,-0.07879,2.3084547,AEF.MI,Aeffe SpA,Apparel & Accessories,227518475.8,-0.181883146,-7765446.171,0.006207864,0.25,9.71383E+15,49279389.34
AKSA.IS_2023,2023,1025085577,0,0,100,80.55481349,0.33,0.147,0.2496166,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Leather Goods,255878376.4,0.03669364,150687579.8,0.021609,0.1089,1.0508E+18,338278240.4
AKSA.IS_2020,2020,520399897.1,0,0,100,67.85090522,0.22,0.25899,1.0384108,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Leather Goods,540388873.5,0.268938013,134778369.3,0.06707582,0.0484,2.70816E+17,114487977.4
AKSA.IS_2018,2018,227572818.4,0,0,100,37.77336739,0.36,0.16788,0.8361094,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Leather Goods,190275772.6,0.140366046,38204924.75,0.028183694,0.1296,5.17894E+16,81926214.62
2020.HK_2024,2024,27330249675,0,0,100,74.02284471,0.4,0.23839,0.3833066,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,10475865080,0.09137646,6515258220,0.056829792,0.16,7.46943E+20,10932099870
2020.HK_2023,2023,24899396659,0,0,100,72.22364761,0.42,0.23972,0.5152092,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,12828398233,0.123505949,5968883367,0.057465678,0.1764,6.1998E+20,10457746597
2020.HK_2022,2022,33215043521,0,0,100,67.99682093,0.36,0.2917,0.5785301,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,19215902450,0.16875723,9688828195,0.08508889,0.1296,1.10324E+21,11957415668
2020.HK_2021,2021,35658869439,0,0,100,67.33139763,0.4,0.2279,0.6560951,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,23395609510,0.149524073,8126656345,0.05193841,0.16,1.27155E+21,14263547776
2020.HK_2020,2020,35091186229,0,0,100,59.60935056,0.4,0.29809,0.5254649,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,18439186663,0.156635832,10460331703,0.088857648,0.16,1.23139E+21,14036474492
2020.HK_2019,2019,21581302201,0,0,100,56.36134823,0.4,0.27831,0.1079249,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,2329159882,0.030036579,6006292216,0.077456456,0.16,4.65753E+20,8632520880
2020.HK_2018,2018,11224587938,0,0,100,59.76248599,0.33,0.266,0.0102998,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,115611010.8,0.002739747,2985740392,0.070756,0.1089,1.25991E+20,3704114020
2020.HK_2017,2017,10154398189,0,0,100,48.09787045,0.33,0.263,0.1594522,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,1619141131,0.041935929,2670606724,0.069169,0.1089,1.03112E+20,3350951402
2020.HK_2016,2016,7106350536,0,0,100,52.13059915,0.33,0.249,0.1666287,2020.HK,ANTA Sports Products Ltd,Apparel & Accessories,1184121952,0.041490546,1769481283,0.062001,0.1089,5.05002E+19,2345095677
ECNL.MI_2024,2024,104636254.6,0,0,100,61.88974608,0.5,-0.17199,3.2375751,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,338767732.5,-0.556830541,-17996389.43,0.02958056,0.25,1.09487E+16,52318127.3
ECNL.MI_2023,2023,147585542.6,0,0,100,51.28857019,0.44,0.178,2.101065,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,310086818.1,0.37398957,26270226.58,0.031684,0.1936,2.17815E+16,64937638.74
ECNL.MI_2022,2022,262931832.4,0,0,100,50.65974734,0.4,0.0765,2.185323,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,574590980.8,0.16717721,20114285.18,0.00585225,0.16,6.91331E+16,105172733
ECNL.MI_2021,2021,328022448.8,0,0,100,48.08348666,0.4,0.0044,3.3687321,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,1105019753,0.014822421,1443298.775,0.00001936,0.16,1.07599E+17,131208979.5
ECNL.MI_2020,2020,207690453.9,0,0,100,45.81505577,0.33,0.0629,2.3944188,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,497297927.4,0.150608943,13063729.55,0.00395641,0.1089,4.31353E+16,68537849.79
ECNL.MI_2019,2019,269783476.2,0,0,100,46.06344121,0.33,0.2235,1.5723902,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,424204894.1,0.35142921,60296606.93,0.04995225,0.1089,7.27831E+16,89028547.15
ASIA.KL_2025,2025,25639460.47,0,0,100,15.95822492,0.33,0.1444,0.1975705,ASIA.KL,Asia Brands Bhd,Apparel & Accessories,5065601.025,0.02852918,3702338.092,0.02085136,0.1089,6.57382E+14,8461021.955
ASIA.KL_2023,2023,25489973.47,0,0,100,11.88357908,0.43,0.11043,0.1608097,ASIA.KL,Asia Brands Bhd,Apparel & Accessories,4099034.987,0.017758215,2814857.77,0.012194785,0.1849,6.49739E+14,10960688.59
7936.T_2024,2024,14471799622,0,0,100,66.12259519,0.67,0.188,0.6388605,7936.T,Asics Corp,Footwear,9245461142,0.120105774,2720698329,0.035344,0.4489,2.09433E+20,9696105747
7936.T_2023,2023,5388525845,0,0,100,70.00475591,0.63,0.126,0.8093487,7936.T,Asics Corp,Footwear,4361196388,0.101977936,678954256.5,0.015876,0.3969,2.90362E+19,3394771282
7936.T_2022,2022,3943158086,0,0,100,69.11985766,0.63,0.06807,0.7538915,7936.T,Asics Corp,Footwear,2972713364,0.051317394,268410770.9,0.004633525,0.3969,1.55485E+19,2484189594
7936.T_2021,2021,3716317672,0,0,100,71.23022305,0.47,-0.116,0.9702989,7936.T,Asics Corp,Footwear,3605938949,-0.112554672,-431092850,0.013456,0.2209,1.3811E+19,1746669306
7936.T_2020,2020,2963749680,0,0,100,69.07768415,0.25,0.045,0.5291256,7936.T,Asics Corp,Footwear,1568195828,0.023810652,133368735.6,0.002025,0.0625,8.78381E+18,740937420
7936.T_2019,2019,2828819471,1,1,40,59.39345324,0.28,-0.12331,0.343987,7936.T,Asics Corp,Footwear,973077123.4,-0.042417037,-348821729,0.015205356,0.0784,8.00222E+18,792069451.9
7936.T_2018,2018,2227061510,0,0,100,63.94150794,0.29,0.065,0.306445,7936.T,Asics Corp,Footwear,682471864.4,0.019918925,144758998.2,0.004225,0.0841,4.9598E+18,645847837.9
