Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD,Propensity_Score
LVMH.PA_2023,2023,3.68E+11,1,0,71.42857143,81.10455075,0.56,0.2755,0.6198679,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,2.28111E+11,0.170773606,1.01384E+11,0.07590025,0.3136,1.35E+23,2.0608E+11,0.99997024
NKE.N_2021,2021,2.32E+11,1,0,66.66666667,73.22400179,0.86,0.5501,0.7374481,NKE.N,Nike Inc,Footwear,1.71088E+11,0.4056702,1.27623E+11,0.30261001,0.7396,5.38E+22,1.9952E+11,0.999923464
LVMH.PA_2022,2022,3.42E+11,1,1,44.11764706,79.47160333,0.59,0.2848,0.7044307,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,2.40915E+11,0.200621863,97401600000,0.08111104,0.3481,1.17E+23,2.0178E+11,0.999922616
LVMH.PA_2024,2024,3.18E+11,1,1,6.818181818,80.8167317,0.59,0.2613,0.6137861,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,1.95184E+11,0.160382308,83093400000,0.06827769,0.3481,1.01E+23,1.8762E+11,0.999811798
LVMH.PA_2021,2021,3.67E+11,1,1,27.77777778,77.80953654,0.56,0.1271,0.9653094,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,3.54269E+11,0.122690825,46645700000,0.01615441,0.3136,1.35E+23,2.0552E+11,0.999715698
LVMH.PA_2020,2020,2.58E+11,1,1,5.555555556,69.93523508,0.59,0.2082,0.657761,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,1.69702E+11,0.13694584,53715600000,0.04334724,0.3481,6.66E+22,1.5222E+11,0.996578194
NKE.N_2022,2022,1.7E+11,1,1,17.64705882,73.34667425,0.75,0.43109,0.6171062,NKE.N,Nike Inc,Footwear,1.04908E+11,0.266028312,73285300000,0.185838588,0.5625,2.89E+22,1.275E+11,0.994693737
LVMH.PA_2019,2019,2.09E+11,1,0,90,69.06566031,0.63,0.2074,0.3243219,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,67783277100,0.067264362,43346600000,0.04301476,0.3969,4.37E+22,1.3167E+11,0.992886379
NKE.N_2020,2020,1.83E+11,1,1,33.33333333,75.86654183,0.79,0.297,1.1988827,NKE.N,Nike Inc,Footwear,2.19396E+11,0.356068162,54351000000,0.088209,0.6241,3.35E+22,1.4457E+11,0.990638355
NKE.N_2019,2019,1.41E+11,1,1,10,71.851128,0.77,0.4274,0.4262168,NKE.N,Nike Inc,Footwear,60096568800,0.18216506,60263400000,0.18267076,0.5929,1.99E+22,1.0857E+11,0.987705018
NKE.N_2023,2023,1.49E+11,1,1,10.71428571,69.70863602,0.75,0.3463,0.6378892,NKE.N,Nike Inc,Footwear,95045490800,0.22090103,51598700000,0.11992369,0.5625,2.22E+22,1.1175E+11,0.982937188
HRMS.PA_2024,2024,2.45E+11,1,1,29.54545455,55.29918639,0.29,0.3119,0.1354996,HRMS.PA,Hermes International SCA,Apparel & Accessories,33197402000,0.042262325,76415500000,0.09728161,0.0841,6.00E+22,71050000000,0.961438219
NKE.N_2024,2024,1.08E+11,1,1,2.272727273,66.73408813,0.77,0.4246,0.6173943,NKE.N,Nike Inc,Footwear,66678584400,0.26214562,45856800000,0.18028516,0.5929,1.17E+22,83160000000,0.936962304
NKE.N_2018,2018,1.03E+11,1,0,85.71428571,71.59072408,0.69,0.3567,0.4315124,NKE.N,Nike Inc,Footwear,44445777200,0.153920473,36740100000,0.12723489,0.4761,1.06E+22,71070000000,0.886052793
NKE.N_2016,2016,80522904481,1,0,70,65.43966475,0.79,0.3012,0.1662588,NKE.N,Nike Inc,Footwear,13387641472,0.050077151,24253498830,0.09072144,0.6241,6.48E+21,63613094540,0.862841609
NKE.N_2017,2017,85071133553,0,0,100,70.64944203,0.73,0.3438,0.3362618,NKE.N,Nike Inc,Footwear,28606172497,0.115606807,29247455716,0.11819844,0.5329,7.24E+21,62101927494,0.837508726
ADSGn.DE_2020,2020,59703981809,1,0,66.66666667,88.36010648,1,0.3,0.6758288,ADSGn.DE,Adidas AG,Footwear,40349670381,0.20274864,17911194543,0.09,1,3.56E+21,59703981809,0.820921658
LVMH.PA_2018,2018,1.3E+11,1,0,85.71428571,64.76540214,0.59,0.1857,0.3810778,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Apparel & Accessories,49540114000,0.070766147,24141000000,0.03448449,0.3481,1.69E+22,76700000000,0.798778315
HRMS.PA_2023,2023,2.03E+11,1,0,71.42857143,58.28346992,0.25,0.3083,0.1552541,HRMS.PA,Hermes International SCA,Apparel & Accessories,31516582300,0.047864839,62584900000,0.09504889,0.0625,4.12E+22,50750000000,0.788954324
ADSGn.DE_2019,2019,58080610703,1,0,70,90.01631232,0.89,0.26538,0.2774984,ADSGn.DE,Adidas AG,Footwear,16117276541,0.073642525,15413432468,0.070426544,0.7921,3.37E+21,51691743526,0.766025027
LULU.OQ_2023,2023,58463568341,0,0,100,62.3129061,0.92,0.4378,0.0027312,LULU.OQ,Lululemon Athletica Inc,Apparel & Accessories,159675697.9,0.001195719,25595350220,0.19166884,0.8464,3.42E+21,53786482874,0.744405209
