Year,Treated_ID,Treated_Company,Treated_PS,Control_ID,Control_Company,Control_PS,Distance
2024,ADSGn.DE,Adidas AG,0.384906061,CFR.S,Compagnie Financiere Richemont SA,0.434299075,0.049393014
2024,BCU.MI,Brunello Cucinelli SpA,0.061180953,MC.BK,MC Group PCL,0.062942597,0.001761645
2024,GOOS.TO,Canada Goose Holdings Inc,0.090757946,MONC.MI,Moncler SpA,0.091221554,0.000463608
2024,7762.T,Citizen Watch Co Ltd,0.037094533,SABINA.BK,Sabina PCL,0.037049082,4.55E-05
2024,CROX.OQ,Crocs Inc,0.287229451,PNDORA.CO,Pandora A/S,0.213729453,0.073499999
2024,GIL.TO,Gildan Activewear Inc,0.144112271,BORG.ST,Bjorn Borg AB,0.143848818,0.000263453
2024,LEVI.N,Levi Strauss & Co,0.161155855,KTB.N,Kontoor Brands Inc,0.168949925,0.00779407
2024,LULU.OQ,Lululemon Athletica Inc,0.595376324,DECK.N,Deckers Outdoor Corp,0.543363131,0.052013194
2024,1913.HK,Prada SpA,0.057350488,9904.TW,Pou Chen Corp,0.057077056,0.000273433
2024,PUMG.DE,Puma SE,0.172545031,WWW.N,Wolverine World Wide Inc,0.174221748,0.001676718
2024,PVH.N,PVH Corp,0.148530932,OXM.N,Oxford Industries Inc,0.134563071,0.013967861
2024,RL.N,Ralph Lauren Corp,0.160315586,ZGN.N,Ermenegildo Zegna NV,0.13318382,0.027131766
2024,SFER.MI,Salvatore Ferragamo SpA,0.055959143,9910.TW,Feng Tay Enterprises Co Ltd,0.05793379,0.001974647
2024,VFC.N,VF Corp,0.142473013,MEKKO.HE,Marimekko Oyj,0.120581716,0.021891296
2023,ADSGn.DE,Adidas AG,0.387130733,DECK.N,Deckers Outdoor Corp,0.363094208,0.024036526
2023,BATA.NS,Bata India Ltd,0.099209325,DOCS.L,Dr Martens PLC,0.104809319,0.005599994
2023,CFR.S,Compagnie Financiere Richemont SA,0.454757141,PNDORA.CO,Pandora A/S,0.256922416,0.197834725
2023,CROX.OQ,Crocs Inc,0.2816907,WWW.N,Wolverine World Wide Inc,0.219825145,0.061865555
2023,HRMS.PA,Hermes International SCA,0.788954324,LULU.OQ,Lululemon Athletica Inc,0.744405209,0.044549115
2023,TITN.NS,Titan Company Ltd,0.087657803,GIII.OQ,G-III Apparel Group Ltd,0.084058161,0.003599642
2023,UAA.N,Under Armour Inc,0.104193073,1368.HK,Xtep International Holdings Ltd,0.109928976,0.005735903
2023,VIPI.NS,V I P Industries Ltd,0.056111366,2313.HK,Shenzhou International Group Holdings Ltd,0.056833412,0.000722046
2022,ADSGn.DE,Adidas AG,0.417779193,CFR.S,Compagnie Financiere Richemont SA,0.381837016,0.035942177
2022,GOOS.TO,Canada Goose Holdings Inc,0.085120581,300979.SZ,Huali Industrial Group Co Ltd,0.085068484,5.21E-05
2022,FIGS.N,Figs Inc,0.031667243,600398.SS,HLA Group Corp Ltd,0.032205389,0.000538146
2022,BOSSn.DE,Hugo Boss AG,0.104737769,MEKKO.HE,Marimekko Oyj,0.109378347,0.004640578
2022,2331.HK,Li Ning Co Ltd,0.117088443,KTB.N,Kontoor Brands Inc,0.117900813,0.000812371
2022,LULU.OQ,Lululemon Athletica Inc,0.420594598,DECK.N,Deckers Outdoor Corp,0.308231256,0.112363343
2022,LUXI.NS,Lux Industries Ltd,0.048403106,SAFA.NS,Safari Industries (India) Ltd,0.048687108,0.000284002
2022,PAGE.NS,Page Industries Ltd,0.063645041,TITN.NS,Titan Company Ltd,0.063150302,0.000494739
2022,PUMG.DE,Puma SE,0.168397936,LEVI.N,Levi Strauss & Co,0.171150009,0.002752073
2022,RL.N,Ralph Lauren Corp,0.128049271,PVH.N,PVH Corp,0.127830196,0.000219075
2022,WWW.N,Wolverine World Wide Inc,0.20715082,PNDORA.CO,Pandora A/S,0.211920076,0.004769256
2021,BOSSn.DE,Hugo Boss AG,0.093084363,MONC.MI,Moncler SpA,0.098363181,0.005278818
2021,PAGE.NS,Page Industries Ltd,0.064665969,9910.TW,Feng Tay Enterprises Co Ltd,0.065193713,0.000527745
2021,PVH.N,PVH Corp,0.120714059,2331.HK,Li Ning Co Ltd,0.123750767,0.003036707
2020,3998.HK,Bosideng International Holdings Ltd,0.031877589,1929.HK,Chow Tai Fook Jewellery Group Ltd,0.031972148,9.46E-05
2019,7936.T,Asics Corp,0.04159228,3998.HK,Bosideng International Holdings Ltd,0.038666386,0.002925894
2017,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,0.723702334,NKE.N,Nike Inc,0.837508726,0.113806392
2025,BATA.NS,Bata India Ltd,0.075561654,DOCS.L,Dr Martens PLC,0.072828645,0.00273301
2025,DECK.N,Deckers Outdoor Corp,0.306631014,OXM.N,Oxford Industries Inc,0.123816968,0.182814046
2025,LEVI.N,Levi Strauss & Co,0.144846588,GIII.OQ,G-III Apparel Group Ltd,0.098638395,0.046208193
2025,RLXO.NS,Relaxo Footwears Ltd,0.100813877,TITN.NS,Titan Company Ltd,0.072357365,0.028456513
2025,UAA.N,Under Armour Inc,0.11900884,SAFA.NS,Safari Industries (India) Ltd,0.065958163,0.053050677
