Stratum,Variabele,Mean_Treated,Var_Treated,Mean_Control,Var_Control,p_val,SMD,N_Paren_in_Stratum
0.0-0.2,Company Market Cap,6332208054.571875,5.2671307026093e+19,6082342076.457575,7.254215068723161e+19,0.8992475908670804,0.031578872510526414,32
0.0-0.2,Return on Equity - Actual,0.1780140625,0.021536919876512097,0.28068303030303027,0.1357186787155303,0.14725162547667128,0.3661433372093782,32
0.0-0.2,Independent Board Members,0.628125,0.039577016129032264,0.6093939393939394,0.050137121212121216,0.7229279931600882,0.0884396314630505,32
0.0-0.2,Total Debt Percentage of Total Equity,0.720578578125,0.4613564054928508,0.7293834484848485,1.1146361153100581,0.9683399143250552,0.009918840067488133,32
0.2-0.4,Company Market Cap,16757594709.983332,2.9178011570617906e+20,17322311005.228573,4.3599025471202256e+20,0.958886175567752,0.029603845736215596,6
0.2-0.4,Return on Equity - Actual,0.5028800000000001,0.36460301355999997,0.46618428571428566,0.055283268395238096,0.8842281077650697,0.08008745638501184,6
0.2-0.4,Independent Board Members,0.85,0.0011200000000000003,0.8885714285714287,0.009747619047619048,0.383182807234968,0.5232551588761318,6
0.2-0.4,Total Debt Percentage of Total Equity,1.3035593500000002,0.8320905999251231,1.1253089857142855,1.5265206105248879,0.7763443117562876,0.1641410641580309,6
0.4-0.6,Company Market Cap,43282361355.25,3.3505170048472056e+20,54312858398.5,1.2015917408828984e+21,0.6164280135294063,0.39794543496115614,4
0.4-0.6,Return on Equity - Actual,0.3081975,0.014780417358333332,0.305145,0.015157146049999997,0.978328543345825,0.02494953438694478,4
0.4-0.6,Independent Board Members,0.86,0.007666666666666666,0.775,0.03125,0.4467924459500513,0.6093490049635814,4
0.4-0.6,Total Debt Percentage of Total Equity,0.377053,0.19099043743164668,0.39596175,0.31285481726380504,0.9652180039309726,0.03767291549451686,4
