Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Total Debt Percentage of Total Equity: 2025,Total Debt Percentage of Total Equity: 2024,Total Debt Percentage of Total Equity: 2023,Total Debt Percentage of Total Equity: 2022,Total Debt Percentage of Total Equity: 2021,Total Debt Percentage of Total Equity: 2020,Total Debt Percentage of Total Equity: 2019,Total Debt Percentage of Total Equity: 2018,Total Debt Percentage of Total Equity: 2017,Total Debt Percentage of Total Equity: 2016,Return on Assets - Actual: 2025,Return on Assets - Actual: 2024,Return on Assets - Actual: 2023,Return on Assets - Actual: 2022,Return on Assets - Actual: 2021,Return on Assets - Actual: 2020,Return on Assets - Actual: 2019,Return on Assets - Actual: 2018,Return on Assets - Actual: 2017,Return on Assets - Actual: 2016,Return on Equity - Actual: 2025,Return on Equity - Actual: 2024,Return on Equity - Actual: 2023,Return on Equity - Actual: 2022,Return on Equity - Actual: 2021,Return on Equity - Actual: 2020,Return on Equity - Actual: 2019,Return on Equity - Actual: 2018,Return on Equity - Actual: 2017,Return on Equity - Actual: 2016,Company Market Cap: 2025,Company Market Cap: 2024,Company Market Cap: 2023,Company Market Cap: 2022,Company Market Cap: 2021,Company Market Cap: 2020,Company Market Cap: 2019,Company Market Cap: 2018,Company Market Cap: 2017,Company Market Cap: 2016,Independent Board Members: 2025,Independent Board Members: 2024,Independent Board Members: 2023,Independent Board Members: 2022,Independent Board Members: 2021,Independent Board Members: 2020,Independent Board Members: 2019,Independent Board Members: 2018,Independent Board Members: 2017,Independent Board Members: 2016,ESG Score: 2025,ESG Score: 2024,ESG Score: 2023,ESG Score: 2022,ESG Score: 2021,ESG Score: 2020,ESG Score: 2019,ESG Score: 2018,ESG Score: 2017,ESG Score: 2016,ESG Score: 2015,ESG Score: 2014,ESG Controversies Score: 2025,ESG Controversies Score: 2024,ESG Controversies Score: 2023,ESG Controversies Score: 2022,ESG Controversies Score: 2021,ESG Controversies Score: 2020,ESG Controversies Score: 2019,ESG Controversies Score: 2018,ESG Controversies Score: 2017,ESG Controversies Score: 2016,ESG Controversies Score: 2015,ESG Controversies Score: 2014
1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,0.0269106,0.0303717,0.0310962,0.0244134,0.2562812,0.3803985,0.4795355,0.4421334,0.5174066,0.2803546,0.08679,0.0754,0.06309,0.05259,,0.03629,0.02628,0.04223,0.04643,0.06727,0.12449,0.11289,0.09919,0.08769,0.064,0.0715,0.05293,0.08296,0.07607,0.101,1370891021,1090157697,832588781.2,823798084.2,933213666.5,235851130.5,336210982.9,375220221.3,595659447.4,760901854.1,50.00%,42.86%,42.86%,42.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,52.50475348,44.7539247,39.65278851,39.15379522,,,,,,,,,100,100,100,100,,,,,,,
ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,0.9522754,1.1295431,1.2070641,0.6802348,0.880287,0.6758288,0.2774984,0.1866379,0.2517428,,0.04259,-0.003,0.01199,0.0691,0.0207,0.1089,0.113,0.0739,0.0713,,0.1639,-0.0121,0.04059,0.21359,0.0652,0.3,0.26538,0.1698,0.1676,,30429000000,42624000000,33148800000,22942800000,48639720000,59703981809,58080610703,36555912326,34970485490,31413810328,63.64%,81.25%,88.24%,94.12%,94.12%,100.00%,89.47%,88.89%,88.89%,100.00%,,83.11542954,90.036398,88.5970334,89.84805031,88.36010648,90.01631232,86.24511425,86.09091415,88.41809795,93.50407631,,,25,3.571428571,8.823529412,100,66.66666667,70,35.71428571,25,70,75,
AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.7648835,3.3833636,2.3084547,1.6891171,1.0265096,0.8181398,0.3191329,0.4338362,0.4739387,0.630272,,,,,,,,,,,0.22199,-0.33869,-0.07879,0.0775,-0.10199,0.0733,0.1077,,0.0272,,36261238,93190653.47,98558778.67,132914780,296320511,118528204.4,214080833,251765071.9,241565634,119172379.4,50.00%,60.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.68335559,39.80577645,38.94242071,,,,,,,,,,100,100,100,,,,,,,
AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.0847167,0.6050989,0.6922998,0.2714831,0.3507371,0.3551922,0.3250267,0.2829393,0.2893663,0.2796781,,,,,,,,,,,,,,,,0.01816,,,,,136815.2,82089.12,54726.08,10055917.2,17922791.2,20111834.4,34203800,40360484,79498645.59,93893104.65,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,33.90636442,,,,,,,,,,,,16.66666667,,,,,,
AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.2696603,0.2150415,0.2496166,1.049613,1.0181855,1.0384108,1.313217,0.8361094,0.6676552,,,,,,,,,,,,,,0.147,,,0.25899,,0.16788,,0.1007,756293405.3,1374207675,1025085577,1488416731,733142483.8,520399897.1,380121735.4,227572818.4,523013822.2,458055111,33.33%,36.36%,33.33%,33.33%,41.67%,22.22%,30.77%,35.71%,0.00%,0.00%,,77.8893405,80.55481349,82.89063131,80.20047964,67.85090522,55.83997134,37.77336739,22.3600735,,,,,100,100,100,100,100,100,100,100,,,
ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),,,,,,,,,15.097901,4.8377561,,,,,,,,,,0.05486,,,,,,0.0757,,0.05841,,0.15311,754223111.5,1178324313,1154669102,872185231.7,1510318353,1296987726,52521136.85,67331123.84,70151484.96,66522845.81,42.86%,42.86%,37.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,31.75330617,35.88547584,38.63109574,,,,,,,,,,88.63636364,100,100,,,,,,,,
ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC),0.399686,0.4481837,0.2477496,0.083104,0.1809159,0.2624487,0.2481677,0.3239916,0.2869051,,0.017,0.2519,0.05309,0.1074,0.03,0.0645,,,,,0.0277,0.329,0.09609,0.2174,0.0501,0.1091,0.21038,,0.0968,,1185412194,646133081.3,1307848114,1636253573,3162946008,3683382637,3961266753,1768418523,2050651130,1299941726,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,68.33716812,63.45352458,24.66525551,16.37378219,,,,,,,,,100,100,100,100,,,,,
2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,0.4213428,0.3833066,0.5152092,0.5785301,0.6560951,0.5254649,0.1079249,0.0102998,0.1594522,0.1666287,0.1142,0.12679,0.11512,0.1348,0.10182,0.16289,0.18886,0.185,0.179,0.171,0.2066,0.23839,0.23972,0.2917,0.2279,0.29809,0.27831,0.266,0.263,0.249,24646243546,27330249675,24899396659,33215043521,35658869439,35091186229,21581302201,11224587938,10154398189,7106350536,40.00%,40.00%,41.67%,36.36%,40.00%,40.00%,40.00%,33.33%,33.33%,33.33%,,74.02284471,72.22364761,67.99682093,67.33139763,59.60935056,56.36134823,59.76248599,48.09787045,52.13059915,51.14777482,,,100,100,100,100,100,100,100,100,100,100,
ECNL.MI,Aquafil SpA,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,2.1737332,3.2375751,2.101065,2.185323,3.3687321,2.3944188,1.5723902,1.6899258,2.0438876,,,,-0.0362,,,0.0009,0.0153,,,,-0.1157,-0.17199,0.178,0.0765,0.0044,0.0629,0.2235,0.2088,,,102081132.2,104636254.6,147585542.6,262931832.4,328022448.8,207690453.9,269783476.2,384548510.5,533283130.8,,50.00%,50.00%,44.44%,40.00%,40.00%,33.33%,33.33%,0.00%,0.00%,0.00%,,61.88974608,51.28857019,50.65974734,48.08348666,45.81505577,46.06344121,43.6167441,,,,,,100,100,100,100,100,100,100,,,,
ARVN.NS,Arvind Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.3921388,0.3913212,0.4362657,0.6065601,0.7473919,0.929724,0.930742,0.8053165,0.7794623,1.3975531,,,,,,,,0.0351,0.0511,0.0448,0.09561,0.0963,0.1074,0.08669,0.02819,0.0534,0.0911,0.0904,0.1024,0.1361,787490039.6,1212874067,744997573.6,264215458.3,371696869.4,135704329.4,129248609.3,317039304.4,1522576646,1276598800,60.00%,55.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,58.41905947,64.41988414,,,,,,,,,,,100,100,,,,,,,,
