Primary Key,Year,Company Market Cap,ESG Controversies Score,ESG Score,Independent Board Members,Return on Assets - Actual,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name
1361.HK_2025,2025,1370891021,,,50.00%,0.08679,0.12449,0.0269106,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2024,2024,1090157697,100,52.50475348,42.86%,0.0754,0.11289,0.0303717,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2023,2023,832588781.2,100,44.7539247,42.86%,0.06309,0.09919,0.0310962,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2022,2022,823798084.2,100,39.65278851,42.86%,0.05259,0.08769,0.0244134,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2021,2021,933213666.5,100,39.15379522,0.00%,,0.064,0.2562812,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2020,2020,235851130.5,,,0.00%,0.03629,0.0715,0.3803985,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2019,2019,336210982.9,,,0.00%,0.02628,0.05293,0.4795355,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2018,2018,375220221.3,,,0.00%,0.04223,0.08296,0.4421334,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2017,2017,595659447.4,,,0.00%,0.04643,0.07607,0.5174066,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
1361.HK_2016,2016,760901854.1,,,0.00%,0.06727,0.101,0.2803546,1361.HK,361 Degrees International Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2025,2025,30429000000,,,63.64%,0.04259,0.1639,0.9522754,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2024,2024,42624000000,25,83.11542954,81.25%,-0.003,-0.0121,1.1295431,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2023,2023,33148800000,3.571428571,90.036398,88.24%,0.01199,0.04059,1.2070641,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2022,2022,22942800000,8.823529412,88.5970334,94.12%,0.0691,0.21359,0.6802348,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2021,2021,48639720000,100,89.84805031,94.12%,0.0207,0.0652,0.880287,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2020,2020,59703981809,66.66666667,88.36010648,100.00%,0.1089,0.3,0.6758288,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2019,2019,58080610703,70,90.01631232,89.47%,0.113,0.26538,0.2774984,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2018,2018,36555912326,35.71428571,86.24511425,88.89%,0.0739,0.1698,0.1866379,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2017,2017,34970485490,25,86.09091415,88.89%,0.0713,0.1676,0.2517428,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
